Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Interview,Course,Remarks
Henry Perez,Stanford University USA,1,91,BS Accountancy,BS Civil Engineering,qw,,
Ava White,Stanford University USA,1,91,BS Civil Engineering,BS Information Technology,we,,
Gabriel Miller,Stanford University USA,D,90,BS Information Technology,BS Biology,qw,,
Mia Brown,Stanford University USA,1,90,BS Biology,BS Accountancy,1,,
Layla Garcia,Harvard University USA,1,90,BS Accountancy,BS Civil Engineering,dd,,
Emma Stewart,Stanford University USA,1,90,BS Civil Engineering,BS Information Technology,0,,
Daniel Adams,University of Oxford UK,1,90,BS Information Technology,BS Biology,dd,,
Logan Smith,Stanford University USA,1,90,BS Biology,BS Accountancy,dd,,
James Harris,Stanford University USA,1,89,BS Accountancy,BS Civil Engineering,dd,,
Benjamin Martin,Harvard University USA,1,89,BS Civil Engineering,BS Information Technology,dd,,
Elijah Robinson,Harvard University USA,1,89,BS Information Technology,BS Biology,0,,
Zoey Hayes,Harvard University USA,1,89,BS Biology,BS Accountancy,0,,
Samuel Phillips,Harvard University USA,S,89,BS Accountancy,BS Civil Engineering,0,,
Emily Williams,Harvard University USA,1,89,BS Civil Engineering,BS Information Technology,0,,
Sofia Lewis,Stanford University USA,1,89,BS Information Technology,BS Biology,0,,
Amelia Young,University of Oxford UK,1,89,BS Biology,BS Accountancy,0,,
Charlotte Wilson,Harvard University USA,1,88,BS Accountancy,BS Civil Engineering,0,,
Jack Scott,Harvard University USA,1,88,BS Civil Engineering,BS Information Technology,0,,
Noah Parker,Harvard University USA,1,88,BS Information Technology,BS Biology,0,,
David Rodriguez,Harvard University USA,1,88,BS Biology,BS Accountancy,0,,
Aria Nelson,Stanford University USA,1,87,BS Accountancy,BS Civil Engineering,0,,
Ethan Carter,Harvard University USA,1,87,BS Civil Engineering,BS Information Technology,0,,
Oliver Green,Harvard University USA,A,87,BS Information Technology,BS Biology,0,,
Harper Jones,Harvard University USA,1,87,BS Biology,BS Accountancy,0,,
David Martin,Stanford University USA,1,86,BS Accountancy,BS Civil Engineering,0,,
Avery Green,Stanford University USA,1,86,BS Civil Engineering,BS Information Technology,0,,
Aiden Wood,Harvard University USA,1,86,BS Information Technology,BS Biology,0,,
Jackson Anderson,Harvard University USA,1,85,BS Biology,BS Accountancy,0,,
Scarlett Lee,Stanford University USA,1,85,BS Accountancy,BS Civil Engineering,0,,
Lucas Johnson,Stanford University USA,1,85,BS Civil Engineering,BS Information Technology,0,,
Madison Davis,Massachusetts Institute of Technology (MIT) USA,1,84,BS Information Technology,BS Biology,0,,
Nicholas Jones,Harvard University USA,1,84,BS Biology,BS Accountancy,0,,
Evelyn Stewart,Stanford University USA,1,82,BS Accountancy,BS Civil Engineering,0,,
Benjamin Richardson,Stanford University USA,1,82,BS Civil Engineering,BS Information Technology,0,,
Charlotte Walker,Harvard University USA,1,81,BS Information Technology,BS Biology,0,,
Samuel Scott,Harvard University USA,1,80,BS Biology,BS Accountancy,0,,
William Rodriguez,Stanford University USA,1,80,BS Accountancy,BS Civil Engineering,0,,
Emily Carter,Harvard University USA,1,79,BS Civil Engineering,BS Information Technology,0,,
Carter Hall,Harvard University USA,1,79,BS Information Technology,BS Biology,0,,
Alexander Moore,Harvard University USA,1,78,BS Biology,BS Accountancy,0,,
Emma Wilson,Massachusetts Institute of Technology (MIT) USA,1,78,BS Accountancy,BS Civil Engineering,0,,
Mia Young,Harvard University USA,1,77,BS Civil Engineering,BS Information Technology,0,,
Aria Evans,Stanford University USA,1,76,BS Information Technology,BS Biology,0,,
Layla Phillips,Harvard University USA,1,76,BS Biology,BS Accountancy,0,,
Matthew Lewis,Massachusetts Institute of Technology (MIT) USA,1,75,BS Accountancy,BS Civil Engineering,0,,
Noah Jenkins,Harvard University USA,1,75,BS Civil Engineering,BS Information Technology,0,,
Camila Hayes,Harvard University USA,1,75,BS Information Technology,BS Biology,0,,
Logan Turner,Stanford University USA,1,75,BS Biology,BS Accountancy,0,,
Lily Miller,Harvard University USA,1,74,BS Accountancy,BS Civil Engineering,0,,
Mia Perez,Harvard University USA,1,74,BS Civil Engineering,BS Information Technology,1,,
Zoey Rivera,Stanford University USA,1,74,BS Information Technology,BS Biology,1,,
Sophia King,Stanford University USA,1,74,BS Biology,BS Accountancy,1,,
Grace Cooper,Harvard University USA,1,74,BS Accountancy,BS Civil Engineering,1,,
Chloe Williams,Stanford University USA,1,73,BS Civil Engineering,BS Information Technology,1,,
Ella Bailey,Harvard University USA,1,73,BS Information Technology,BS Biology,1,,
Harper Nelson,Stanford University USA,1,73,BS Biology,BS Accountancy,1,,
Henry Baker,Harvard University USA,1,73,BS Accountancy,BS Civil Engineering,1,,
Andrew Gonzalez,Harvard University USA,1,72,BS Civil Engineering,BS Information Technology,1,,
Amelia Harris,Stanford University USA,1,72,BS Information Technology,BS Biology,1,,
Abigail Robinson,Harvard University USA,1,72,BS Biology,BS Accountancy,1,,
Harper Jackson,Harvard University USA,1,72,BS Accountancy,BS Civil Engineering,1,,
Michael White,Massachusetts Institute of Technology (MIT) USA,1,72,BS Civil Engineering,BS Information Technology,1,,
Daniel Brown,University of Oxford UK,1,72,BS Information Technology,BS Biology,1,,
Elijah Thomas,Harvard University USA,1,71,BS Biology,BS Accountancy,1,,
Liam Thompson,Harvard University USA,1,71,BS Accountancy,BS Civil Engineering,1,,
Joseph Martinez,Harvard University USA,1,70,BS Civil Engineering,BS Information Technology,1,,
James Taylor,Massachusetts Institute of Technology (MIT) USA,1,70,BS Information Technology,BS Biology,1,,
Ava Clark,Massachusetts Institute of Technology (MIT) USA,1,70,BS Biology,BS Accountancy,1,,
Gabriel Diaz,Harvard University USA,1,69,BS Accountancy,BS Civil Engineering,1,,
Oliver Parker,California Institute of Technology (Caltech) USA,1,69,BS Civil Engineering,BS Information Technology,1,,
Olivia Smith,Harvard University USA,1,67,BS Information Technology,BS Biology,1,,
Ethan Adams,Harvard University USA,1,67,BS Biology,BS Accountancy,1,,
Sofia Garcia,Harvard University USA,1,67,BS Accountancy,BS Civil Engineering,1,,
Jack Reed,University of Oxford UK,1,67,BS Civil Engineering,BS Information Technology,1,,
Henry Gonzalez,Harvard University USA,1,67,BS Information Technology,BS Biology,1,,
Jackson Johnson,Harvard University USA,1,66,BS Biology,BS Accountancy,1,,
William Richardson,California Institute of Technology (Caltech) USA,1,66,BS Accountancy,BS Civil Engineering,1,,
Gabriel Wilson,Imperial College London UK,1,66,BS Civil Engineering,BS Information Technology,1,,
Ava Walker,University of Oxford UK,1,66,BS Information Technology,BS Biology,1,,
Harper Bailey,Harvard University USA,1,64,BS Biology,BS Accountancy,1,,
Alexander Clark,Harvard University USA,1,64,BS Accountancy,BS Civil Engineering,1,,
Michael Evans,Stanford University USA,1,63,BS Civil Engineering,BS Information Technology,1,,
Zoey Jenkins,Stanford University USA,1,62,BS Information Technology,BS Biology,1,,
Liam Taylor,Harvard University USA,1,62,BS Biology,BS Accountancy,1,,
Camila Rivera,University of Oxford UK,1,62,BS Accountancy,BS Civil Engineering,0,,
Jack Garcia,Harvard University USA,1,62,BS Civil Engineering,BS Information Technology,0,,
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,1,62,BS Information Technology,BS Biology,0,,
Abigail Thomas,University of Oxford UK,1,62,BS Biology,BS Accountancy,0,,
Sophia Carter,Harvard University USA,1,61,BS Accountancy,BS Civil Engineering,0,,
Layla Jackson,Harvard University USA,1,61,BS Civil Engineering,BS Information Technology,0,,
Mia Smith,Stanford University USA,1,59,BS Information Technology,BS Biology,0,,
Sofia Nelson,Stanford University USA,1,59,BS Biology,BS Accountancy,0,,
Elijah Williams,Stanford University USA,1,58,BS Accountancy,BS Civil Engineering,0,,
Charlotte Baker,Stanford University USA,1,58,BS Civil Engineering,BS Information Technology,0,,
Benjamin Green,Stanford University USA,1,57,BS Information Technology,BS Biology,0,,
Matthew Miller,Harvard University USA,1,57,BS Biology,BS Accountancy,0,,
Ella Stewart,Stanford University USA,1,57,BS Accountancy,BS Civil Engineering,0,,
Emily Moore,Stanford University USA,1,54,BS Civil Engineering,BS Information Technology,0,,
Noah Martinez,Harvard University USA,1,53,BS Information Technology,BS Biology,0,,
Grace Hall,Harvard University USA,1,51,BS Biology,BS Accountancy,0,,
Logan Brown,University of Oxford UK,1,48,BS Accountancy,BS Civil Engineering,0,,
Lily Davis,Stanford University USA,1,47,BS Civil Engineering,BS Information Technology,0,,
Amelia Jones,Massachusetts Institute of Technology (MIT) USA,1,46,BS Information Technology,BS Biology,0,,
Carter Wood,Harvard University USA,1,44,BS Biology,BS Accountancy,0,,
Emma Reed,Harvard University USA,1,42,BS Accountancy,BS Civil Engineering,0,,
Harper Diaz,Harvard University USA,1,41,BS Civil Engineering,BS Information Technology,0,,
Daniel Lee,Stanford University USA,1,40,BS Information Technology,BS Biology,1,,
David Adams,Stanford University USA,1,38,BS Biology,BS Accountancy,1,,
James Scott,Harvard University USA,1,38,BS Accountancy,BS Civil Engineering,1,,
Chloe Anderson,Harvard University USA,1,37,BS Civil Engineering,BS Information Technology,1,,
Oliver Turner,Harvard University USA,1,37,BS Information Technology,BS Biology,1,,
Scarlett Cooper,University of Oxford UK,1,34,BS Biology,BS Accountancy,1,,
Mia Young,Stanford University USA,1,31,BS Accountancy,BS Civil Engineering,1,,
Olivia White,Harvard University USA,1,30,BS Civil Engineering,BS Information Technology,1,,
Lucas Hayes,Stanford University USA,1,30,BS Information Technology,BS Biology,1,,
Aria King,University of Cambridge UK,1,30,BS Biology,BS Accountancy,1,,
Madison Harris,Harvard University USA,1,30,BS Accountancy,BS Civil Engineering,1,,
Aiden Thompson,University of Oxford UK,1,30,BS Civil Engineering,BS Information Technology,1,,
Andrew Phillips,Harvard University USA,1,30,BS Computer Science,BS Biology,1,,
Evelyn Robinson,Harvard University USA,1,28,BS Biology,BS Accountancy,1,,
Avery Lewis,Stanford University USA,1,28,BS Accountancy,BS Civil Engineering,1,,
Ethan Martin,Stanford University USA,1,24,BS Civil Engineering,BS Information Technology,1,,
Nicholas Rodriguez,Harvard University USA,1,24,BS Information Technology,BS Biology,1,,
Samuel Perez,Stanford University USA,1,20,BS Biology,BS Accountancy,1,,
Emily Lee,Massachusetts Institute of Technology (MIT) USA,1,5,BS Accountancy,BS Civil Engineering,0,,
John Doe,Stanford University USA,1,b,BS Civil Engineering,BS Information Technology,0,,
Jane Smith,Harvard University USA,1,65,BS Information Technology,BS Biology,0,,
Michael Johnson,Stanford University USA,1,65,BS Biology,BS Accountancy,0,,
Emily Davis,Stanford University USA,1,65,BS Computer Science,BS Civil Engineering,0,,
Robert Anderson,Harvard University USA,1,b,BS Computer Science,BS Information Technology,0,,
Sarah White,Stanford University USA,1,65,BS Computer Science,BS Biology,0,,
Christopher Lee,Harvard University USA,1,65,BS Computer Science,BS Accountancy,0,,
Olivia Taylor,Harvard University USA,1,88,BS Computer Science,BS Civil Engineering,0,,
Daniel Brown,University of Oxford UK,1,78,BS Computer Science,BS Information Technology,0,,
Mia Harris,Harvard University USA,1,55,BS Computer Science,BS Biology,0,,
Liam Martin,Harvard University USA,1,90,BS Computer Science,BS Accountancy,0,,
Ava Garcia,University of Cambridge UK,1,SSS,BS Computer Science,BS Civil Engineering,0,,
Ethan Wilson,University of Oxford UK,1,62,BS Computer Science,BS Information Technology,0,,
Emma Miller,Harvard University USA,1,SD,BS Computer Science,BS Biology,0,,
Noah Davis,Harvard University USA,1,ASD,BS Computer Science,BS Accountancy,0,,
Sophia Clark,Harvard University USA,1,ASD,BS Computer Science,BS Civil Engineering,0,,
Logan Turner,Stanford University USA,1,91,BS Computer Science,BS Information Technology,0,,
Mia Johnson,Stanford University USA,1,77,BS Computer Science,BS Biology,0,,
Aiden Thomas,Harvard University USA,1,SD,BS Computer Science,BS Accountancy,0,,
Abigail Moore,Stanford University USA,1,86,BS Computer Science,BS Civil Engineering,0,,
Jackson Brooks,Harvard University USA,1,SDA,BS Computer Science,BS Information Technology,0,,
Lily Walker,Stanford University USA,1,82,BS Computer Science,BS Biology,1,,
Samuel Hall,Stanford University USA,1,89,BS Psychology,BS Accountancy,1,,
Zoey Adams,Stanford University USA,1,57,BSED Mathematics,BS Civil Engineering,1,,
Owen Turner,Stanford University USA,1,76,BS Criminology,BS Information Technology,1,,
Grace Taylor,Harvard University USA,1,S,BS Computer Science,BS Biology,1,,
Benjamin Scott,Stanford University USA,1,64,BS Psychology,BS Accountancy,1,,
Harper Baker,University of Oxford UK,1,94,BSED Mathematics,BS Civil Engineering,1,,
D,Stanford University USA,1,S,BS Criminology,BS Information Technology,1,,
Natalie King,Stanford University USA,1,59,BS Computer Science,BS Biology,1,,
Isaac Ward,Harvard University USA,1,93,BS Psychology,BS Accountancy,1,,
Aria Lopez,Harvard University USA,1,66,BSED Mathematics,BS Civil Engineering,1,,
James Cooper,Harvard University USA,1,74,BS Criminology,BS Information Technology,1,,
Stella Mitchell,Harvard University USA,1,S,BS Computer Science,BS Biology,1,,
Leo Perez,Harvard University USA,1,73,BS Psychology,BS Accountancy,1,,
Hazel Rivera,Stanford University USA,1,S,BSED Mathematics,BS Civil Engineering,0,,
Elijah Reed,University of Oxford UK,1,98,BS Criminology,BS Information Technology,0,,
Penelope Torres,Harvard University USA,1,72,BS Computer Science,BS Biology,0,,
Wyatt Morgan,Harvard University USA,1,61,BS Psychology,BS Accountancy,0,,
Addison Price,Harvard University USA,1,96,BSED Mathematics,BS Civil Engineering,0,,
Grayson Bell,Harvard University USA,1,71,BS Criminology,BS Information Technology,0,,
Paisley Diaz,Stanford University USA,1,54,BS Computer Science,BS Biology,0,,
Lincoln Coleman,Harvard University USA,1,99,BS Psychology,BS Accountancy,0,,
Gabriella Hayes,Harvard University USA,1,70,BSED Mathematics,BS Civil Engineering,0,,
Zane Stewart,Harvard University USA,1,67,BS Criminology,BS Information Technology,0,,
Bella Turner,Stanford University USA,1,95,BS Computer Science,BS Biology,0,,
Caleb Ross,Stanford University USA,1,69,BS Psychology,BS Accountancy,0,,
Luna Young,Harvard University USA,1,53,BSED Mathematics,BS Civil Engineering,0,,
Mateo Perry,Harvard University USA,1,B,BS Criminology,BS Information Technology,0,,
Hazel Collins,Stanford University USA,1,75,BS Computer Science,BS Biology,0,,
Hudson Hughes,Stanford University USA,1,52,BS Psychology,BS Accountancy,0,,
Aurora Morgan,Massachusetts Institute of Technology (MIT) USA,1,89,BSED Mathematics,BS Civil Engineering,0,,
Carter Brooks,Harvard University USA,1,74,BS Criminology,BS Information Technology,0,,
Nova Ward,Stanford University USA,1,51,BS Computer Science,BS Biology,0,,
Elijah Kelly,Stanford University USA,1,93,BS Psychology,BS Accountancy,0,,
Ivy Powell,Harvard University USA,1,77,BSED Mathematics,BS Civil Engineering,0,,
Sawyer Bailey,Harvard University USA,1,58,BS Criminology,BS Information Technology,0,,
Clara Holmes,Stanford University USA,1,87,BS Computer Science,BS Biology,1,,
Silas Sullivan,Harvard University USA,1,76,BS Psychology,BS Accountancy,1,,
Hazel Olson,Harvard University USA,1,55,BSED Mathematics,BS Civil Engineering,1,,
Lincoln Holmes,Harvard University USA,1,91,BS Criminology,BS Information Technology,1,,
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,1,80,BS Computer Science,BS Biology,1,,
Nolan Turner,Harvard University USA,1,63,BS Psychology,BS Accountancy,1,,
Stella Schmidt,Stanford University USA,1,88,BSED Mathematics,BS Civil Engineering,1,,
Max Thompson,Harvard University USA,1,79,BS Criminology,BS Information Technology,1,,
Mia Harper,Massachusetts Institute of Technology (MIT) USA,1,56,BS Computer Science,BS Biology,1,,
Oliver Turner,Harvard University USA,1,90,BS Psychology,BS Accountancy,1,,
Scarlett Foster,Harvard University USA,1,82,BSED Mathematics,BS Civil Engineering,1,,
Levi Russell,Stanford University USA,1,59,BS Criminology,BS Information Technology,1,,
Evelyn Reed,Harvard University USA,1,86,BS Computer Science,BS Biology,1,,
Jackson Turner,Harvard University USA,1,78,BS Psychology,BS Accountancy,1,,
Harper Coleman,Stanford University USA,1,60,BSED Mathematics,BS Civil Engineering,1,,
Amelia Brooks,Stanford University USA,1,92,BS Criminology,BS Information Technology,1,,
Mason Turner,Harvard University USA,1,81,BS Computer Science,BS Biology,1,,
Zoe Sullivan,Stanford University USA,1,57,BS Psychology,BS Accountancy,0,,
Caleb Turner,Harvard University USA,1,94,BSED Mathematics,BS Civil Engineering,0,,
Aurora Hayes,Stanford University USA,1,83,BS Criminology,BS Information Technology,0,,
Logan Turner,Harvard University USA,1,62,BS Computer Science,BS Biology,0,,
Ivy Bell,Harvard University USA,1,85,BS Psychology,BS Accountancy,0,,
John Smith,Stanford University USA,1,88,BSED Mathematics,BS Civil Engineering,0,,
Emily Johnson,Harvard University USA,1,70,BS Criminology,BS Information Technology,0,,
Ethan Parker,Harvard University USA,1,95,BS Computer Science,BS Biology,0,,
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,1,85,BS Psychology,BS Accountancy,0,,
Noah Wilson,University of Oxford UK,1,65,BSED Mathematics,BS Civil Engineering,0,,
Ava Turner,Harvard University USA,1,92,BS Criminology,BS Information Technology,0,,
Olivia White,Harvard University USA,1,78,BS Computer Science,BS Biology,0,,
Logan Davis,Harvard University USA,1,60,BS Psychology,BS Accountancy,0,,
Emma Adams,Massachusetts Institute of Technology (MIT) USA,1,87,BSED Mathematics,BS Civil Engineering,0,,
Daniel Hall,Massachusetts Institute of Technology (MIT) USA,1,84,BS Criminology,BS Information Technology,0,,
Mia Martin,Harvard University USA,1,68,BS Computer Science,BS Biology,0,,
Liam Harris,California Institute of Technology (Caltech) USA,1,90,BS Psychology,BS Accountancy,0,,
Ella Thompson,Harvard University USA,1,79,BSED Mathematics,BS Civil Engineering,0,,
James Carter,Harvard University USA,1,63,BS Criminology,BS Information Technology,0,,
Avery Taylor,Harvard University USA,1,91,BS Computer Science,BS Biology,0,,
Isabella Rodriguez,University of Oxford UK,1,77,BS Psychology,BS Accountancy,0,,
Matthew Lee,Harvard University USA,1,55,BSED Mathematics,BS Civil Engineering,0,,
Evelyn King,Harvard University USA,1,86,BS Criminology,BS Information Technology,1,,
Michael Harris,California Institute of Technology (Caltech) USA,1,82,BS Computer Science,BS Biology,1,,
Aria Scott,Imperial College London UK,1,59,BS Psychology,BS Accountancy,1,,
Elijah Baker,University of Oxford UK,1,94,BSED Mathematics,BS Civil Engineering,1,,
Charlotte Clark,Harvard University USA,1,83,BS Criminology,BS Information Technology,1,,
Lucas Turner,Harvard University USA,1,62,BS Computer Science,BS Biology,1,,
Grace Evans,Stanford University USA,1,85,BS Psychology,BS Accountancy,1,,
Benjamin Turner,Stanford University USA,1,88,BSED Mathematics,BS Civil Engineering,1,,
Aria Nelson,Harvard University USA,1,70,BS Criminology,BS Information Technology,1,,
Hazel Parker,University of Oxford UK,1,95,BS Computer Science,BS Biology,1,,
Zoey Thompson,Harvard University USA,1,80,BS Psychology,BS Accountancy,1,,
Jacob Brooks,Massachusetts Institute of Technology (MIT) USA,1,65,BSED Mathematics,BS Civil Engineering,1,,
Mia Hernandez,University of Oxford UK,1,92,BS Criminology,BS Information Technology,1,,
Landon Davis,Harvard University USA,1,78,BS Computer Science,BS Biology,1,,
Eva Adams,Harvard University USA,1,60,BS Psychology,BS Accountancy,1,,
Jack Hall,Stanford University USA,1,87,BSED Mathematics,BS Civil Engineering,0,,
Ella Miller,Stanford University USA,1,84,BS Criminology,BS Information Technology,0,,
Logan Martin,Stanford University USA,1,68,BS Computer Science,BS Biology,0,,
Avery Harris,Stanford University USA,1,90,BS Psychology,BS Accountancy,0,,
Isabella Thompson,Stanford University USA,1,79,BSED Mathematics,BS Civil Engineering,0,,
Matthew Carter,Harvard University USA,1,63,BS Criminology,BS Information Technology,0,,
Evelyn Taylor,Stanford University USA,1,91,BS Computer Science,BS Biology,0,,
Michael Rodriguez,Stanford University USA,1,77,BS Psychology,BS Accountancy,0,,
Aria Lee,Harvard University USA,1,55,BSED Mathematics,BS Civil Engineering,0,,
Sophie Holmes,Harvard University USA,1,86,BS Criminology,BS Information Technology,0,,
Noah Scott,University of Oxford UK,1,82,BS Computer Science,BS Biology,0,,
Ava Baker,Stanford University USA,1,59,BS Psychology,BS Accountancy,0,,
Olivia Turner,Massachusetts Institute of Technology (MIT) USA,1,94,BSED Mathematics,BS Civil Engineering,0,,
Logan Clark,Harvard University USA,1,83,BS Criminology,BS Information Technology,0,,
Emma Evans,Harvard University USA,1,62,BS Computer Science,BS Biology,0,,
Logan Davis,Harvard University USA,1,60,BS Psychology,BS Accountancy,0,,
Emma Adams,Stanford University USA,1,87,BSED Mathematics,BS Civil Engineering,0,,
Daniel Hall,Stanford University USA,1,84,BS Criminology,BS Information Technology,0,,
Mia Martin,Harvard University USA,1,68,BS Computer Science,BS Biology,0,,
Liam Harris,Harvard University USA,1,90,BS Psychology,BS Accountancy,0,,
Ella Thompson,Harvard University USA,1,79,BSED Mathematics,BS Civil Engineering,0,,
James Carter,University of Oxford UK,1,63,BS Criminology,BS Information Technology,0,,
Avery Taylor,Stanford University USA,1,91,BS Computer Science,BS Biology,1,,
Isabella Rodriguez,Harvard University USA,1,77,BS Psychology,BS Accountancy,1,,
Matthew Lee,Stanford University USA,1,55,BSED Mathematics,BS Civil Engineering,1,,
Evelyn King,University of Cambridge UK,1,86,BS Criminology,BS Information Technology,1,,
Michael Harris,Harvard University USA,1,82,BS Computer Science,BS Biology,1,,
Aria Scott,University of Oxford UK,1,59,BS Psychology,BS Accountancy,1,,
Elijah Baker,Harvard University USA,1,94,BSED Mathematics,BS Civil Engineering,1,,
Charlotte Clark,Harvard University USA,1,83,BS Criminology,BS Information Technology,0,,
Lucas Turner,Stanford University USA,1,62,BS Computer Science,BS Biology,0,,
Grace Evans,Stanford University USA,1,85,BS Psychology,BS Accountancy,0,,
Benjamin Turner,Harvard University USA,1,88,BSED Mathematics,BS Civil Engineering,0,,
Aria Nelson,Stanford University USA,1,70,BS Criminology,BS Information Technology,0,,
Hazel Parker,Massachusetts Institute of Technology (MIT) USA,1,95,BS Computer Science,BS Biology,0,,
Zoey Thompson,Stanford University USA,1,80,BS Psychology,BS Accountancy,0,,
Jacob Brooks,Harvard University USA,1,65,BSED Mathematics,BS Civil Engineering,0,,
Mia Hernandez,Stanford University USA,1,92,BS Criminology,BS Information Technology,0,,
Landon Davis,Stanford University USA,1,78,BS Computer Science,BS Biology,0,,
Eva Adams,Harvard University USA,1,60,BS Psychology,BS Accountancy,0,,
Jack Hall,Stanford University USA,1,87,BSED Mathematics,BS Civil Engineering,0,,
Ella Miller,Harvard University USA,1,84,BS Criminology,BS Information Technology,0,,
Logan Martin,Harvard University USA,1,68,BS Computer Science,BS Biology,0,,
Avery Harris,University of Oxford UK,1,90,BS Psychology,BS Accountancy,0,,
Isabella Thompson,Harvard University USA,1,79,BSED Mathematics,BS Civil Engineering,0,,
Matthew Carter,Harvard University USA,1,63,BS Criminology,BS Information Technology,0,,
Evelyn Taylor,University of Cambridge UK,1,91,BS Computer Science,BS Biology,0,,
Michael Rodriguez,University of Oxford UK,1,77,BS Psychology,BS Accountancy,0,,
Aria Lee,Harvard University USA,1,55,BSED Mathematics,BS Civil Engineering,0,,
Sophie Holmes,Harvard University USA,1,86,BS Criminology,BS Information Technology,0,,
Noah Scott,Harvard University USA,1,82,BS Computer Science,BS Biology,0,,
Ava Baker,Stanford University USA,1,59,BS Psychology,BS Accountancy,1,,
Olivia Turner,Stanford University USA,1,94,BSED Mathematics,BS Civil Engineering,1,,
Logan Clark,Harvard University USA,1,83,BS Criminology,BS Information Technology,1,,
Emma Evans,Stanford University USA,1,62,BS Computer Science,BS Biology,1,,
Lucas Turner,Harvard University USA,1,85,BS Psychology,BS Accountancy,1,,
Darryl John,Stanford University USA,1,97,BSED Mathematics,BS Civil Engineering,1,,
Jasmine Parker,Stanford University USA,1,79,BS Criminology,BS Information Technology,1,,
Xavier Montgomery,Stanford University USA,1,63,BS Computer Science,BS Biology,1,,
Emily Rodriguez,Stanford University USA,1,91,BS Psychology,BS Accountancy,1,,
Jacob Patel,Harvard University USA,1,77,BSED Mathematics,BS Civil Engineering,1,,
Olivia Chang,Stanford University USA,1,55,BS Criminology,BS Information Technology,1,,
Lucas Thompson,University of Oxford UK,1,86,BS Computer Science,BS Biology,1,,
Ava Khan,Stanford University USA,1,82,BS Psychology,BS Accountancy,1,,
Benjamin Kim,Stanford University USA,1,59,BSED Mathematics,BS Civil Engineering,1,,
Sophia Gupta,Harvard University USA,1,94,BS Criminology,BS Information Technology,1,,
William Santos,Harvard University USA,1,83,BS Computer Science,BS Biology,1,,
Nathanial Reynolds,Harvard University USA,1,62,BS Psychology,BS Accountancy,0,,
Stella Moore,Harvard University USA,1,85,BSED Mathematics,BS Civil Engineering,0,,
Damian Hunt,Harvard University USA,1,88,BS Criminology,BS Information Technology,0,,
Madeline Griffin,Stanford University USA,1,70,BS Computer Science,BS Biology,0,,
Isaac Park,University of Oxford UK,1,95,BS Psychology,BS Accountancy,0,,
Lydia Foster,Harvard University USA,1,80,BSED Mathematics,BS Civil Engineering,1,,
Mason Donovan,Harvard University USA,1,65,BS Criminology,BS Information Technology,1,,
Penelope Choi,Harvard University USA,1,92,BS Computer Science,BS Biology,1,,
Dominic Clarke,Harvard University USA,1,78,BS Psychology,BS Accountancy,1,,
Violet Nguyen,Stanford University USA,1,60,BSED Mathematics,BS Civil Engineering,1,,
Vincent Barker,Harvard University USA,1,87,BS Criminology,BS Information Technology,1,,
