Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank,GWA
Amayah Werner,Harvard University USA,Failed,95,BS Computer Science,BSED Mathematics,,68
Amelia Brooks,Stanford University USA,Passed,95,BS Criminology,BS Information Technology,,71
Amelia Harris,Stanford University USA,Passed,83,BS Information Technology,BS Biology,,84
Amelia Jones,Massachusetts Institute of Technology (MIT) USA,Passed,85,BS Information Technology,BS Biology,,90
Amelia Young,University of Oxford UK,Passed,96,BS Biology,BS Accountancy,,60
Amina Hampton,University of Oxford UK,Failed,84,BS Psychology,BS Criminology,,88
Amina Werner,Harvard University USA,Failed,60,BSED Mathematics,BS Computer Science,,70
Anabella Hensley,Harvard University USA,Failed,80,BS Criminology,BS Psychology,,78
Anais Esparza,Harvard University USA,Failed,85,BS Criminology,BS Psychology,,97
Analia Baxter,Massachusetts Institute of Technology (MIT) USA,Failed,98,BS Criminology,BS Psychology,,62
Analia Moran,Stanford University USA,Failed,63,BSED Mathematics,BS Computer Science,,60
Anaya Fitzgerald,Harvard University USA,Failed,71,BS Computer Science,BS Biology,,79
Anaya Hoover,Harvard University USA,Failed,94,BS Criminology,BS Information Technology,,98
Anders Cuevas,Stanford University USA,Failed,80,BS Psychology,BS Accountancy,,81
Anders Rosales,Harvard University USA,Failed,92,BS Criminology,BS Information Technology,,84
Andrew Anderson,University of Oxford UK,Passed,63,BS Biology,BS Accountancy,,94
Andrew Gonzalez,Harvard University USA,Passed,78,BS Civil Engineering,BS Information Technology,,62
Andrew Phillips,Harvard University USA,Passed,90,BS Information Technology,BS Biology,,77
Aniya Tapia,Harvard University USA,Failed,94,BSED Mathematics,BS Computer Science,,81
Annabelle Huang,Stanford University USA,Failed,62,BSED Mathematics,BS Civil Engineering,,93
Annalise Yu,Harvard University USA,Failed,86,BSED Mathematics,BS Computer Science,,94
Aria Evans,Stanford University USA,Passed,67,BS Information Technology,BS Biology,,80
Aria King,University of Cambridge UK,Passed,80,BS Biology,BS Accountancy,,100
Aria Lee,Harvard University USA,Passed,98,BSED Mathematics,BS Civil Engineering,,72
Aria Lopez,Harvard University USA,Passed,67,BSED Mathematics,BS Civil Engineering,,94
Aria Nelson,Stanford University USA,Passed,90,BS Accountancy,BS Civil Engineering,,99
Aria Scott,Imperial College London UK,Passed,80,BS Psychology,BS Accountancy,,81
Arlette Carpenter,Harvard University USA,Failed,69,BS Computer Science,BSED Mathematics,,88
Armani Stanton,Harvard University USA,Failed,72,BS Psychology,BS Criminology,,68
Arya Melton,University of Oxford UK,Failed,93,BS Psychology,BS Criminology,,66
Aryan Serrano,Harvard University USA,Failed,71,BS Psychology,BS Criminology,,96
Aryana Hurley,Harvard University USA,Failed,80,BS Criminology,BS Psychology,,82
Aryanna Chang,Stanford University USA,Failed,86,BSED Mathematics,BS Computer Science,,92
Athena Wu,Massachusetts Institute of Technology (MIT) USA,Failed,75,BS Computer Science,BS Biology,,85
Atticus Hawkins,Stanford University USA,Passed,88,BS Criminology,BS Information Technology,,70
Aurora Hayes,Stanford University USA,Passed,67,BS Criminology,BS Information Technology,,73
Aurora Morgan,Massachusetts Institute of Technology (MIT) USA,Passed,90,BSED Mathematics,BS Civil Engineering,,90
Aurora Santos,Stanford University USA,Passed,89,BSED Mathematics,BS Civil Engineering,,64
Ava Baker,Stanford University USA,Passed,80,BS Psychology,BS Accountancy,,69
Ava Clark,Massachusetts Institute of Technology (MIT) USA,Passed,77,BS Biology,BS Accountancy,,64
Ava Garcia,University of Cambridge UK,Passed,60,BS Accountancy,BS Civil Engineering,,82
Ava Khan,Stanford University USA,Passed,79,BS Psychology,BS Accountancy,,78
Ava Turner,Harvard University USA,Passed,86,BS Criminology,BS Information Technology,,80
Ava Walker,University of Oxford UK,Passed,71,BS Information Technology,BS Biology,,72
Ava White,Stanford University USA,Passed,69,BS Civil Engineering,BS Information Technology,,66
Avery Gonzalez,Harvard University USA,Passed,83,BS Civil Engineering,BS Information Technology,,75
Avery Green,Stanford University USA,Passed,91,BS Civil Engineering,BS Information Technology,,67
Avery Harris,Stanford University USA,Passed,62,BS Psychology,BS Accountancy,,76
Avery Lewis,Stanford University USA,Passed,94,BS Accountancy,BS Civil Engineering,,92
Avery Taylor,Harvard University USA,Passed,90,BS Computer Science,BS Biology,,74
Aviana Ho,Stanford University USA,Failed,64,BSED Mathematics,BS Civil Engineering,,66
Ayden Friedman,Harvard University USA,Failed,66,BSED Mathematics,BS Computer Science,,63
Beckham Mahoney,Harvard University USA,Failed,61,BS Psychology,BS Accountancy,,65
Bella Turner,Stanford University USA,Passed,65,BS Computer Science,BS Biology,,96
Benjamin Green,Stanford University USA,Passed,69,BS Information Technology,BS Biology,,99
Benjamin Kim,Stanford University USA,Passed,80,BSED Mathematics,BS Civil Engineering,,78
Benjamin Martin,Harvard University USA,Passed,90,BS Civil Engineering,BS Information Technology,,88
Benjamin Richardson,Stanford University USA,Passed,74,BS Civil Engineering,BS Information Technology,,89
Benjamin Scott,Stanford University USA,Passed,99,BS Psychology,BS Accountancy,,78
Benjamin Turner,Stanford University USA,Passed,81,BSED Mathematics,BS Civil Engineering,,66
Bodhi O'Donnell,Harvard University USA,Failed,91,BS Criminology,BS Information Technology,,88
Boone McDowell,Stanford University USA,Failed,95,BS Criminology,BS Psychology,,62
Bowen Griffin,Harvard University USA,Failed,95,BS Computer Science,BS Biology,,80
Bradyn Poole,Stanford University USA,Failed,66,BS Psychology,BS Criminology,,70
Brett Castillo,Harvard University USA,Failed,63,BS Criminology,BS Psychology,,83
Brice Vang,Stanford University USA,Failed,88,BS Criminology,BS Psychology,,61
Briggs Shea,University of Cambridge UK,Failed,92,BS Criminology,BS Psychology,,97
Bronson Mullen,Harvard University USA,Failed,68,BS Criminology,BS Psychology,,68
Bruno Boone,Harvard University USA,Failed,96,BS Computer Science,BS Biology,,90
Bryce Harrington,Harvard University USA,Failed,98,BS Psychology,BS Accountancy,,98
Brynley Yu,Stanford University USA,Failed,71,BS Psychology,BS Criminology,,62
Caleb Ross,Stanford University USA,Passed,67,BS Psychology,BS Accountancy,,80
Caleb Turner,Harvard University USA,Passed,73,BSED Mathematics,BS Civil Engineering,,60
Callie Werner,Stanford University USA,Failed,68,BS Criminology,BS Information Technology,,65
Callum Bender,Harvard University USA,Failed,61,BS Psychology,BS Accountancy,,78
Cambria Levine,Harvard University USA,Failed,81,BS Criminology,BS Psychology,,94
Camila Hayes,Harvard University USA,Passed,66,BS Information Technology,BS Biology,,87
Camila Paige,Stanford University USA,Failed,86,BS Computer Science,BSED Mathematics,,80
Camila Rivera,University of Oxford UK,Passed,91,BS Accountancy,BS Civil Engineering,,88
Camilla Page,Harvard University USA,Failed,80,BSED Mathematics,BS Civil Engineering,,98
Camille Conrad,California Institute of Technology (Caltech) USA,Failed,78,BSED Mathematics,BS Civil Engineering,,100
Carlisle Hendrix,Stanford University USA,Failed,94,BS Criminology,BS Information Technology,,75
Carter Brooks,Harvard University USA,Passed,63,BS Criminology,BS Information Technology,,100
Carter Hall,Harvard University USA,Passed,79,BS Civil Engineering,BS Information Technology,,61
Carter Wood,Harvard University USA,Passed,79,BS Biology,BS Accountancy,,69
Cassandra Graham,Stanford University USA,Passed,71,BSED Mathematics,BS Civil Engineering,,85
Cassandra Zhang,Harvard University USA,Failed,95,BSED Mathematics,BS Civil Engineering,,68
Cecilia Ochoa,Massachusetts Institute of Technology (MIT) USA,Failed,87,BS Computer Science,BS Biology,,79
Celeste Hendricks,Stanford University USA,Failed,100,BSED Mathematics,BS Civil Engineering,,85
Charleigh Randolph,Stanford University USA,Failed,77,BS Criminology,BS Psychology,,66
Charley Shepard,Stanford University USA,Failed,92,BSED Mathematics,BS Computer Science,,94
Charlotte Baker,Stanford University USA,Passed,91,BS Civil Engineering,BS Information Technology,,84
Charlotte Clark,Harvard University USA,Passed,72,BS Criminology,BS Information Technology,,87
Charlotte Walker,Harvard University USA,Passed,75,BS Information Technology,BS Biology,,61
Charlotte Wilson,Harvard University USA,Passed,95,BS Accountancy,BS Civil Engineering,,84
Chloe Anderson,Harvard University USA,Passed,69,BS Civil Engineering,BS Information Technology,,83
Chloe Moore,Stanford University USA,Passed,89,BS Biology,BS Accountancy,,68
Chloe Williams,Stanford University USA,Passed,80,BS Civil Engineering,BS Information Technology,,79
Christopher Lee,Harvard University USA,Passed,85,BS Biology,BS Accountancy,,92
Clara Holmes,Stanford University USA,Passed,76,BS Computer Science,BS Biology,,67
Clark Stanton,Stanford University USA,Failed,85,BS Criminology,BS Information Technology,,91
Corbin Cabrera,Massachusetts Institute of Technology (MIT) USA,Failed,84,BS Criminology,BS Information Technology,,76
Corey Hutchinson,Stanford University USA,Failed,88,BS Computer Science,BS Biology,,77
Cullen Dunlap,Harvard University USA,Failed,89,BS Psychology,BS Accountancy,,99
D,Stanford University USA,Passed,72,BS Criminology,BS Information Technology,,83
Dahlia Ritter,University of Oxford UK,Failed,90,BSED Mathematics,BS Civil Engineering,,70
Damian Hunt,Harvard University USA,Passed,77,BS Criminology,BS Information Technology,,63
Daniel Adams,University of Oxford UK,Passed,77,BS Information Technology,BS Biology,,80
Daniel Brown,University of Oxford UK,Passed,76,BS Information Technology,BS Biology,,64
Daniel Hall,Massachusetts Institute of Technology (MIT) USA,Passed,81,BS Criminology,BS Information Technology,,98
Daniel Lee,Stanford University USA,Passed,97,BS Information Technology,BS Biology,,82
Daphne Stuart,Harvard University USA,Failed,86,BSED Mathematics,BS Computer Science,,84
Darian Ortiz,Harvard University USA,Failed,71,BS Computer Science,BS Biology,,82
Darian Stanton,Harvard University USA,Failed,72,BS Criminology,BS Psychology,,86
Darryl John,Stanford University USA,Passed,87,BSED Mathematics,BS Civil Engineering,,63
Davian Stokes,Harvard University USA,Failed,95,BS Psychology,BS Criminology,,97
David Adams,Stanford University USA,Passed,76,BS Biology,BS Accountancy,,72
David Martin,Stanford University USA,Passed,77,BS Accountancy,BS Civil Engineering,,79
David Rodriguez,Harvard University USA,Passed,87,BS Biology,BS Accountancy,,75
Daxton Rosario,Stanford University USA,Failed,71,BSED Mathematics,BS Computer Science,,92
Declan Donovan,University of Oxford UK,Failed,78,BS Psychology,BS Accountancy,,82
Desmond Wong,Harvard University USA,Passed,73,BS Psychology,BS Accountancy,,71
Dominic Clarke,Harvard University USA,Passed,67,BS Psychology,BS Accountancy,,80
Dorian Pineda,Harvard University USA,Failed,78,BS Criminology,BS Psychology,,83
Elena Vargas,Harvard University USA,Passed,84,BS Computer Science,BS Biology,,94
Elianna Velez,Stanford University USA,Failed,94,BS Computer Science,BS Biology,,73
Elijah Baker,University of Oxford UK,Passed,99,BSED Mathematics,BS Civil Engineering,,71
Elijah Kelly,Stanford University USA,Passed,81,BS Psychology,BS Accountancy,,79
Elijah Reed,University of Oxford UK,Passed,68,BS Criminology,BS Information Technology,,83
Elijah Robinson,Harvard University USA,Passed,88,BS Information Technology,BS Biology,,91
Elijah Thomas,Harvard University USA,Passed,94,BS Biology,BS Accountancy,,81
Elijah Williams,Stanford University USA,Passed,80,BS Accountancy,BS Civil Engineering,,85
Elina Duarte,California Institute of Technology (Caltech) USA,Failed,93,BS Psychology,BS Criminology,,79
Elinor Melendez,Harvard University USA,Failed,79,BS Computer Science,BS Biology,,66
Elisa Henson,Harvard University USA,Failed,86,BS Psychology,BS Accountancy,,86
Elise Zimmerman,Harvard University USA,Passed,98,BS Computer Science,BS Biology,,89
Eliza Werner,University of Oxford UK,Failed,99,BS Criminology,BS Information Technology,,76
Ella Bailey,Harvard University USA,Passed,97,BS Information Technology,BS Biology,,100
Ella Martinez,Harvard University USA,Passed,79,BS Biology,BS Accountancy,,83
Ella Miller,Stanford University USA,Passed,70,BS Criminology,BS Information Technology,,61
Ella Stewart,Stanford University USA,Passed,66,BS Accountancy,BS Civil Engineering,,79
Ella Thompson,Harvard University USA,Passed,60,BSED Mathematics,BS Civil Engineering,,98
Elliot Villegas,Harvard University USA,Failed,85,BS Psychology,BS Accountancy,,98
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,Passed,87,BS Computer Science,BS Biology,,89
Elyse Rubio,Harvard University USA,Failed,60,BSED Mathematics,BS Computer Science,,92
Emani Hebert,Stanford University USA,Failed,78,BSED Mathematics,BS Computer Science,,98
Ember Hendricks,Harvard University USA,Failed,92,BS Psychology,BS Accountancy,,71
Ember Rivera,Harvard University USA,Failed,85,BSED Mathematics,BS Civil Engineering,,81
Emberly Frye,Harvard University USA,Failed,77,BS Criminology,BS Information Technology,,65
Emery Bass,Stanford University USA,Failed,64,BS Psychology,BS Criminology,,61
Emery Cooley,Harvard University USA,Failed,65,BS Criminology,BS Information Technology,,84
Emilee Carrillo,Imperial College London UK,Failed,79,BS Psychology,BS Criminology,,88
Emily Carter,Harvard University USA,Passed,73,BS Civil Engineering,BS Information Technology,,93
Emily Davis,Stanford University USA,Passed,60,BS Accountancy,BS Civil Engineering,,90
Emily Johnson,Harvard University USA,Passed,85,BS Criminology,BS Information Technology,,91
Emily Lee,Massachusetts Institute of Technology (MIT) USA,Passed,87,BS Accountancy,BS Civil Engineering,,64
Emily Moore,Stanford University USA,Passed,81,BS Civil Engineering,BS Information Technology,,99
Emily Rodriguez,Stanford University USA,Passed,89,BS Psychology,BS Accountancy,,91
Emily Williams,Harvard University USA,Passed,79,BS Civil Engineering,BS Information Technology,,64
Emma Adams,Massachusetts Institute of Technology (MIT) USA,Passed,66,BSED Mathematics,BS Civil Engineering,,76
Emma Evans,Harvard University USA,Passed,89,BS Computer Science,BS Biology,,97
Emma Miller,Harvard University USA,Passed,86,BS Information Technology,BS Biology,,78
Emma Reed,Harvard University USA,Passed,100,BS Accountancy,BS Civil Engineering,,90
Emma Stewart,Stanford University USA,Passed,65,BS Civil Engineering,BS Information Technology,,95
Emma Wilson,Massachusetts Institute of Technology (MIT) USA,Passed,83,BS Accountancy,BS Civil Engineering,,93
Emmett Bradford,Stanford University USA,Failed,73,BS Psychology,BS Accountancy,,70
Emory Buckley,California Institute of Technology (Caltech) USA,Failed,80,BS Computer Science,BSED Mathematics,,85
Emory Dougherty,Stanford University USA,Failed,71,BS Computer Science,BSED Mathematics,,68
Enoch Zimmerman,Harvard University USA,Failed,91,BS Computer Science,BSED Mathematics,,62
Ephraim Sweeney,Harvard University USA,Failed,64,BS Psychology,BS Criminology,,81
Ethan Adams,Harvard University USA,Passed,84,BS Biology,BS Accountancy,,71
Ethan Carter,Harvard University USA,Passed,77,BS Civil Engineering,BS Information Technology,,76
Ethan Martin,Stanford University USA,Passed,85,BS Civil Engineering,BS Information Technology,,77
Ethan Parker,Harvard University USA,Passed,68,BS Computer Science,BS Biology,,70
Ethan Wilson,University of Oxford UK,Passed,64,BS Civil Engineering,BS Information Technology,,80
Eva Adams,Harvard University USA,Passed,69,BS Psychology,BS Accountancy,,88
Evangeline Crosby,Harvard University USA,Failed,83,BSED Mathematics,BS Civil Engineering,,78
Evelyn Jenkins,Stanford University USA,Passed,96,BS Civil Engineering,BS Information Technology,,75
Evelyn King,Harvard University USA,Passed,84,BS Criminology,BS Information Technology,,60
Evelyn Reed,Harvard University USA,Passed,99,BS Computer Science,BS Biology,,83
Evelyn Robinson,Harvard University USA,Passed,97,BS Biology,BS Accountancy,,69
Evelyn Stewart,Stanford University USA,Passed,76,BS Accountancy,BS Civil Engineering,,86
Evelyn Taylor,Stanford University USA,Passed,91,BS Computer Science,BS Biology,,62
Ezekiel Cameron,Harvard University USA,Passed,92,BS Psychology,BS Accountancy,,84
Faye Mathews,University of Oxford UK,Failed,87,BS Criminology,BS Psychology,,79
Finnegan Schultz,Harvard University USA,Passed,95,BS Psychology,BS Accountancy,,83
Francesca Gillespie,Harvard University USA,Failed,100,BSED Mathematics,BS Civil Engineering,,73
Franco Pace,University of Oxford UK,Failed,88,BS Computer Science,BSED Mathematics,,80
Gabriel Diaz,Harvard University USA,Passed,63,BS Accountancy,BS Civil Engineering,,60
Gabriel Wilson,Imperial College London UK,Passed,100,BS Civil Engineering,BS Information Technology,,86
Gabriella Hayes,Harvard University USA,Passed,92,BSED Mathematics,BS Civil Engineering,,86
Gabrielle Pena,Harvard University USA,Failed,65,BSED Mathematics,BS Civil Engineering,,99
Garrett Fuller,Harvard University USA,Passed,62,BS Psychology,BS Accountancy,,88
Genevieve Rivas,University of Oxford UK,Failed,95,BS Computer Science,BS Biology,,76
Gianluca Kent,University of Oxford UK,Failed,95,BS Psychology,BS Criminology,,63
Giselle Hanna,University of Oxford UK,Failed,82,BS Computer Science,BS Biology,,69
Grace Cooper,Harvard University USA,Passed,76,BS Accountancy,BS Civil Engineering,,66
Grace Evans,Stanford University USA,Passed,62,BS Psychology,BS Accountancy,,93
Grace Hall,Harvard University USA,Passed,91,BS Biology,BS Accountancy,,81
Grace Taylor,Harvard University USA,Passed,86,BS Computer Science,BS Biology,,73
Grady McLaughlin,Harvard University USA,Failed,85,BS Criminology,BS Information Technology,,99
Graeme Snyder,University of Cambridge UK,Failed,95,BS Computer Science,BSED Mathematics,,79
Grayson Bell,Harvard University USA,Passed,95,BS Criminology,BS Information Technology,,80
Greyson Montoya,University of Oxford UK,Failed,83,BS Criminology,BS Information Technology,,62
Gwendolyn Shea,Stanford University USA,Failed,95,BSED Mathematics,BS Civil Engineering,,83
Harper Bailey,Harvard University USA,Passed,80,BS Biology,BS Accountancy,,82
Harper Baker,University of Oxford UK,Passed,71,BSED Mathematics,BS Civil Engineering,,100
Harper Bishop,Stanford University USA,Passed,79,BSED Mathematics,BS Civil Engineering,,82
Harper Coleman,Stanford University USA,Passed,69,BSED Mathematics,BS Civil Engineering,,65
Harper Diaz,Harvard University USA,Passed,84,BS Civil Engineering,BS Information Technology,,66
Harper Jackson,Harvard University USA,Passed,90,BS Accountancy,BS Civil Engineering,,74
Harper Jones,Harvard University USA,Passed,94,BS Biology,BS Accountancy,,96
Harper Nelson,Stanford University USA,Passed,62,BS Biology,BS Accountancy,,64
Harper Turner,Harvard University USA,Passed,94,BS Biology,BS Accountancy,,72
Hazel Collins,Stanford University USA,Passed,87,BS Computer Science,BS Biology,,93
Hazel Olson,Harvard University USA,Passed,89,BSED Mathematics,BS Civil Engineering,,90
Hazel Parker,University of Oxford UK,Passed,95,BS Computer Science,BS Biology,,86
Hazel Rivera,Stanford University USA,Passed,84,BSED Mathematics,BS Civil Engineering,,99
Heath Garrison,Harvard University USA,Failed,72,BS Psychology,BS Criminology,,94
Heath Weiss,Stanford University USA,Failed,85,BS Psychology,BS Accountancy,,88
Henry Baker,Harvard University USA,Passed,77,BS Accountancy,BS Civil Engineering,,61
Henry Gonzalez,Harvard University USA,Passed,72,BS Information Technology,BS Biology,,90
Henry Perez,Stanford University USA,Passed,79,BS Accountancy,BS Civil Engineering,,64
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,Passed,89,BS Computer Science,BS Biology,,74
Hudson Hughes,Stanford University USA,Passed,93,BS Psychology,BS Accountancy,,69
Iliana Bartlett,Massachusetts Institute of Technology (MIT) USA,Failed,65,BS Computer Science,BSED Mathematics,,70
Imran Yu,University of Oxford UK,Failed,83,BSED Mathematics,BS Computer Science,,94
Ingrid Huber,Stanford University USA,Failed,96,BS Computer Science,BS Biology,,93
Isaac Park,University of Oxford UK,Passed,99,BS Psychology,BS Accountancy,,88
Isaac Ward,Harvard University USA,Passed,75,BS Psychology,BS Accountancy,,82
Isabella Rodriguez,University of Oxford UK,Passed,75,BS Psychology,BS Accountancy,,75
Isabella Thompson,Stanford University USA,Passed,91,BSED Mathematics,BS Civil Engineering,,90
Ivy Bell,Harvard University USA,Passed,73,BS Psychology,BS Accountancy,,68
Ivy Powell,Harvard University USA,Passed,98,BSED Mathematics,BS Civil Engineering,,69
Jack Garcia,Harvard University USA,Passed,67,BS Civil Engineering,BS Information Technology,,72
Jack Hall,Stanford University USA,Passed,95,BSED Mathematics,BS Civil Engineering,,67
Jack Reed,University of Oxford UK,Passed,98,BS Civil Engineering,BS Information Technology,,96
Jack Scott,Harvard University USA,Passed,62,BS Civil Engineering,BS Information Technology,,89
Jackson Anderson,Harvard University USA,Passed,78,BS Biology,BS Accountancy,,87
Jackson Baker,Stanford University USA,Passed,63,BS Information Technology,BS Biology,,97
Jackson Brooks,Harvard University USA,Passed,72,BS Criminology,BS Information Technology,,82
Jackson Johnson,Harvard University USA,Passed,90,BS Biology,BS Accountancy,,82
Jackson Turner,Harvard University USA,Passed,97,BS Psychology,BS Accountancy,,63
Jacob Brooks,Massachusetts Institute of Technology (MIT) USA,Passed,88,BSED Mathematics,BS Civil Engineering,,65
Jacob Patel,Harvard University USA,Passed,94,BSED Mathematics,BS Civil Engineering,,80
Jadiel Stanton,Harvard University USA,Failed,92,BS Psychology,BS Criminology,,84
James Carter,Harvard University USA,Passed,79,BS Criminology,BS Information Technology,,96
James Cooper,Harvard University USA,Passed,69,BS Criminology,BS Information Technology,,72
James Harris,Stanford University USA,Passed,63,BS Accountancy,BS Civil Engineering,,88
James Scott,Harvard University USA,Passed,63,BS Accountancy,BS Civil Engineering,,98
James Taylor,Massachusetts Institute of Technology (MIT) USA,Passed,89,BS Information Technology,BS Biology,,99
Jane Smith,Harvard University USA,Passed,83,BS Information Technology,BS Biology,,72
Jasmine Parker,Stanford University USA,Passed,91,BS Criminology,BS Information Technology,,69
Jaxon Rojas,Stanford University USA,Failed,70,BS Psychology,BS Accountancy,,80
Jayleen Huang,University of Oxford UK,Failed,62,BS Criminology,BS Information Technology,,87
Jazmin Mclean,Harvard University USA,Failed,61,BSED Mathematics,BS Computer Science,,79
Jedidiah Rasmussen,Stanford University USA,Failed,69,BS Criminology,BS Information Technology,,84
Jett Haas,Harvard University USA,Failed,89,BS Computer Science,BS Biology,,63
Jocelyn Pacheco,Stanford University USA,Failed,67,BS Computer Science,BS Biology,,75
John Doe,Stanford University USA,Passed,100,BS Civil Engineering,BS Information Technology,,86
John Smith,Stanford University USA,Passed,100,BSED Mathematics,BS Civil Engineering,,93
Johnny Sins,Harvard University USA,Passed,83,BS Psychology,BS Accountancy,,88
Jonah Weiss,Harvard University USA,Failed,68,BS Criminology,BS Information Technology,,62
Joseph Diaz,Harvard University USA,Passed,95,BS Civil Engineering,BS Information Technology,,61
Joseph Martinez,Harvard University USA,Passed,61,BS Civil Engineering,BS Information Technology,,83
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,Passed,65,BS Information Technology,BS Biology,,75
Jovani Wong,Massachusetts Institute of Technology (MIT) USA,Failed,65,BSED Mathematics,BS Computer Science,,77
Juliette Ruiz,Harvard University USA,Passed,83,BS Computer Science,BS Biology,,100
Juniper Patel,Stanford University USA,Passed,73,BSED Mathematics,BS Civil Engineering,,91
Juno Rangel,Stanford University USA,Failed,71,BSED Mathematics,BS Civil Engineering,,100
Jurnee Mckinney,Stanford University USA,Failed,93,BSED Mathematics,BS Computer Science,,72
Kaden Ho,Harvard University USA,Failed,84,BS Criminology,BS Information Technology,,63
Kaison Yu,University of Cambridge UK,Failed,70,BSED Mathematics,BS Civil Engineering,,100
Kaitlyn O'Connell,Stanford University USA,Failed,75,BS Computer Science,BSED Mathematics,,78
Kaleb Mcdowell,Harvard University USA,Failed,100,BSED Mathematics,BS Computer Science,,94
Kamdyn Werner,Massachusetts Institute of Technology (MIT) USA,Failed,96,BSED Mathematics,BS Computer Science,,92
Kameron Baxter,Harvard University USA,Failed,70,BS Computer Science,BSED Mathematics,,71
Kamiyah Werner,Stanford University USA,Failed,85,BSED Mathematics,BS Computer Science,,65
Kamryn Gallegos,Stanford University USA,Failed,97,BS Computer Science,BSED Mathematics,,94
Kannon Maldonado,Stanford University USA,Failed,92,BS Criminology,BS Psychology,,60
Karsyn Barrera,Harvard University USA,Failed,76,BSED Mathematics,BS Computer Science,,97
Kase Silva,Stanford University USA,Failed,97,BSED Mathematics,BS Computer Science,,91
Kayley Nixon,Stanford University USA,Failed,88,BS Psychology,BS Criminology,,88
Keegan Daugherty,Massachusetts Institute of Technology (MIT) USA,Failed,97,BS Psychology,BS Accountancy,,61
Kellan Fitzgerald,Harvard University USA,Failed,67,BSED Mathematics,BS Civil Engineering,,88
Kellan Macdonald,Harvard University USA,Failed,75,BS Psychology,BS Accountancy,,97
Kian Curry,Stanford University USA,Failed,76,BS Criminology,BS Psychology,,64
Kian O'Malley,Stanford University USA,Failed,63,BS Criminology,BS Information Technology,,87
Kiera Holland,Harvard University USA,Passed,63,BS Computer Science,BS Biology,,88
Kiera Werner,Massachusetts Institute of Technology (MIT) USA,Failed,65,BS Computer Science,BSED Mathematics,,74
Kieran Leblanc,Harvard University USA,Failed,94,BS Computer Science,BSED Mathematics,,95
Koda McConnell,Harvard University USA,Failed,70,BSED Mathematics,BS Civil Engineering,,73
Kolby Yu,Harvard University USA,Failed,75,BS Criminology,BS Psychology,,76
Kolten Hess,Harvard University USA,Failed,95,BS Computer Science,BSED Mathematics,,97
Konnor Dorsey,Stanford University USA,Failed,91,BS Criminology,BS Information Technology,,79
Korbin Werner,Harvard University USA,Failed,77,BS Computer Science,BSED Mathematics,,72
Kyla Huerta,Harvard University USA,Failed,83,BS Computer Science,BS Biology,,63
