Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Amelia Harris,Stanford University USA,Passed,72,76,BS Information Technology,BS Biology,36,71,BS Information Technology,72.75,Passed
Ethan Wilson,University of Oxford UK,Passed,62,92,BS Civil Engineering,BS Information Technology,37,74,BS Information Technology,72.5,Passed
Andrew Gonzalez,Harvard University USA,Passed,72,64,BS Civil Engineering,BS Information Technology,38,80,BS Information Technology,72.0,Passed
James Taylor,Massachusetts Institute of Technology (MIT) USA,Passed,70,63,BS Information Technology,BS Biology,39,83,BS Information Technology,71.5,Passed
Charlotte Baker,Stanford University USA,Passed,58,77,BS Civil Engineering,BS Information Technology,39,93,BS Information Technology,71.5,Passed
Mia Harris,Harvard University USA,Passed,55,77,BS Information Technology,BS Biology,39,99,BS Information Technology,71.5,Passed
Oliver Parker,California Institute of Technology (Caltech) USA,Passed,69,62,BS Civil Engineering,BS Information Technology,40,83,BS Information Technology,70.75,Passed
Ava Walker,University of Oxford UK,Passed,66,75,BS Information Technology,BS Biology,41,75,BS Information Technology,70.5,Passed
Jack Garcia,Harvard University USA,Passed,62,77,BS Civil Engineering,BS Information Technology,42,80,BS Information Technology,70.25,Passed
Noah Jenkins,Harvard University USA,Passed,75,60,BS Civil Engineering,BS Information Technology,43,70,BS Information Technology,70.0,Passed
Joseph Martinez,Harvard University USA,Passed,70,60,BS Civil Engineering,BS Information Technology,44,79,BS Information Technology,69.75,Passed
Mia Smith,Stanford University USA,Passed,59,79,BS Information Technology,BS Biology,45,77,BS Information Technology,68.5,Passed
Henry Gonzalez,Harvard University USA,Passed,67,75,BS Information Technology,BS Biology,46,64,BS Information Technology,68.25,Passed
Harper Diaz,Harvard University USA,Passed,41,89,BS Civil Engineering,BS Information Technology,47,96,BS Information Technology,66.75,Passed
