Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Leo Perez,Harvard University USA,Passed,73,81,BS Psychology,BS Accountancy,22,90,BS Accountancy,79.25,Passed
Avery Harris,Stanford University USA,Passed,90,69,BS Psychology,BS Accountancy,22,68,BS Accountancy,79.25,Passed
Elijah Kelly,Stanford University USA,Passed,93,70,BS Psychology,BS Accountancy,23,60,BS Accountancy,79.0,Passed
Liam Harris,California Institute of Technology (Caltech) USA,Passed,90,60,BS Psychology,BS Accountancy,24,72,BS Accountancy,78.0,Passed
Isaac Ward,Harvard University USA,Passed,93,65,BS Psychology,BS Accountancy,24,61,BS Accountancy,78.0,Passed
Dominic Clarke,Harvard University USA,Passed,78,92,BS Psychology,BS Accountancy,24,64,BS Accountancy,78.0,Passed
Sofia Garcia,Harvard University USA,Passed,67,95,BS Accountancy,BS Civil Engineering,25,82,BS Accountancy,77.75,Passed
Harper Nelson,Stanford University USA,Passed,73,73,BS Biology,BS Accountancy,25,92,BS Accountancy,77.75,Passed
Michael Rodriguez,Stanford University USA,Passed,77,62,BS Psychology,BS Accountancy,26,94,BS Accountancy,77.5,Passed
Sofia Nelson,Stanford University USA,Passed,59,92,BS Biology,BS Accountancy,27,97,BS Accountancy,76.75,Passed
Liam Thompson,Harvard University USA,Passed,71,89,BS Accountancy,BS Civil Engineering,27,76,BS Accountancy,76.75,Passed
Johnny Sins,Harvard University USA,Passed,65,98,BS Psychology,BS Accountancy,27,79,BS Accountancy,76.75,Passed
Finnegan Schultz,Harvard University USA,Passed,62,88,BS Psychology,BS Accountancy,28,93,BS Accountancy,76.25,Passed
Oliver Carter,Stanford University USA,Passed,55,95,BS Psychology,BS Accountancy,28,100,BS Accountancy,76.25,Passed
Jackson Anderson,Harvard University USA,Passed,85,73,BS Biology,BS Accountancy,28,62,BS Accountancy,76.25,Passed
Logan Davis,Harvard University USA,Passed,60,96,BS Psychology,BS Accountancy,29,88,BS Accountancy,76.0,Passed
Ethan Adams,Harvard University USA,Passed,67,95,BS Biology,BS Accountancy,30,74,BS Accountancy,75.75,Passed
Matthew Lewis,Massachusetts Institute of Technology (MIT) USA,Passed,75,76,BS Accountancy,BS Civil Engineering,31,76,BS Accountancy,75.5,Passed
Elijah Williams,Stanford University USA,Passed,58,91,BS Accountancy,BS Civil Engineering,32,93,BS Accountancy,75.0,Passed
Christopher Lee,Harvard University USA,Passed,65,92,BS Biology,BS Accountancy,32,78,BS Accountancy,75.0,Passed
