Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Luna Young,Harvard University USA,Passed,53,82,BSED Mathematics,BS Civil Engineering,267,60,Failed,62.0,Failed
Ella Stewart,Stanford University USA,Passed,57,61,BS Accountancy,BS Civil Engineering,268,72,Failed,61.75,Failed
Aria King,University of Cambridge UK,Passed,30,91,BS Biology,BS Accountancy,269,95,Failed,61.5,Failed
Andrew Phillips,Harvard University USA,Passed,30,90,BS Information Technology,BS Biology,270,95,Failed,61.25,Failed
Emma Reed,Harvard University USA,Passed,42,72,BS Accountancy,BS Civil Engineering,271,87,Failed,60.75,Failed
Chloe Anderson,Harvard University USA,Passed,37,96,BS Civil Engineering,BS Information Technology,272,71,Failed,60.25,Failed
Noah Martinez,Harvard University USA,Passed,53,71,BS Information Technology,BS Biology,273,63,Failed,60.0,Failed
Emily Moore,Stanford University USA,Passed,54,66,BS Civil Engineering,BS Information Technology,274,65,Failed,59.75,Failed
Amelia Jones,Massachusetts Institute of Technology (MIT) USA,Passed,46,83,BS Information Technology,BS Biology,274,64,Failed,59.75,Failed
James Scott,Harvard University USA,Passed,38,83,BS Accountancy,BS Civil Engineering,276,78,Failed,59.25,Failed
Madison Harris,Harvard University USA,Passed,30,91,BS Accountancy,BS Civil Engineering,277,82,Failed,58.25,Failed
Daniel Lee,Stanford University USA,Passed,40,60,BS Information Technology,BS Biology,278,91,Failed,57.75,Failed
David Adams,Stanford University USA,Passed,38,77,BS Biology,BS Accountancy,279,75,Failed,57.0,Failed
Samuel Perez,Stanford University USA,Passed,20,87,BS Biology,BS Accountancy,280,97,Failed,56.0,Failed
Evelyn Robinson,Harvard University USA,Passed,28,73,BS Biology,BS Accountancy,281,92,Failed,55.25,Failed
Oliver Turner,Harvard University USA,Passed,37,71,BS Information Technology,BS Biology,282,65,Failed,52.5,Failed
Avery Lewis,Stanford University USA,Passed,28,83,BS Accountancy,BS Civil Engineering,283,69,Failed,52.0,Failed
Nicholas Rodriguez,Harvard University USA,Passed,24,62,BS Information Technology,BS Biology,284,91,Failed,50.25,Failed
Lucas Hayes,Stanford University USA,Passed,30,72,BS Information Technology,BS Biology,285,67,Failed,49.75,Failed
Olivia White,Harvard University USA,Passed,30,72,BS Civil Engineering,BS Information Technology,286,60,Failed,48.0,Failed
Aiden Thompson,University of Oxford UK,Passed,30,63,BS Civil Engineering,BS Information Technology,287,65,Failed,47.0,Failed
Jackson Brooks,Harvard University USA,Passed,0,93,BS Criminology,BS Information Technology,288,92,Failed,46.25,Failed
D,Stanford University USA,Passed,0,94,BS Criminology,BS Information Technology,289,89,Failed,45.75,Failed
Ethan Martin,Stanford University USA,Passed,24,69,BS Civil Engineering,BS Information Technology,290,60,Failed,44.25,Failed
Grace Taylor,Harvard University USA,Passed,0,95,BS Computer Science,BS Biology,291,78,Failed,43.25,Failed
Sophia Clark,Harvard University USA,Passed,0,84,BS Accountancy,BS Civil Engineering,292,81,Failed,41.25,Failed
John Doe,Stanford University USA,Passed,0,99,BS Civil Engineering,BS Information Technology,293,64,Failed,40.75,Failed
Robert Anderson,Harvard University USA,Passed,0,94,BS Civil Engineering,BS Information Technology,294,67,Failed,40.25,Failed
Emma Miller,Harvard University USA,Passed,0,65,BS Information Technology,BS Biology,295,95,Failed,40.0,Failed
Aiden Thomas,Harvard University USA,Passed,0,81,BS Biology,BS Accountancy,296,77,Failed,39.5,Failed
Mateo Perry,Harvard University USA,Passed,0,89,BS Criminology,BS Information Technology,297,68,Failed,39.25,Failed
Ava Garcia,University of Cambridge UK,Passed,0,86,BS Accountancy,BS Civil Engineering,298,67,Failed,38.25,Failed
Emily Lee,Massachusetts Institute of Technology (MIT) USA,Passed,5,70,BS Accountancy,BS Civil Engineering,299,72,Failed,38.0,Failed
Stella Mitchell,Harvard University USA,Passed,0,87,BS Computer Science,BS Biology,300,60,Failed,36.75,Failed
Hazel Rivera,Stanford University USA,Passed,0,74,BSED Mathematics,BS Civil Engineering,301,71,Failed,36.25,Failed
Noah Davis,Harvard University USA,Passed,0,64,BS Biology,BS Accountancy,302,74,Failed,34.5,Failed
