Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program
Aria Evans,Stanford University USA,Passed,76.0,BS Information Technology,BS Biology
Layla Phillips,Harvard University USA,Passed,76.0,BS Biology,BS Accountancy
Matthew Lewis,Massachusetts Institute of Technology (MIT) USA,Passed,75.0,BS Accountancy,BS Civil Engineering
Noah Jenkins,Harvard University USA,Passed,75.0,BS Civil Engineering,BS Information Technology
Camila Hayes,Harvard University USA,Passed,75.0,BS Information Technology,BS Biology
Logan Turner,Stanford University USA,Passed,75.0,BS Biology,BS Accountancy
Lily Miller,Harvard University USA,Passed,74.0,BS Accountancy,BS Civil Engineering
Mia Perez,Harvard University USA,Passed,74.0,BS Civil Engineering,BS Information Technology
Zoey Rivera,Stanford University USA,Passed,74.0,BS Information Technology,BS Biology
Grace Cooper,Harvard University USA,Passed,74.0,BS Accountancy,BS Civil Engineering
Chloe Williams,Stanford University USA,Passed,73.0,BS Civil Engineering,BS Information Technology
Ella Bailey,Harvard University USA,Passed,73.0,BS Information Technology,BS Biology
Harper Nelson,Stanford University USA,Passed,73.0,BS Biology,BS Accountancy
Henry Baker,Harvard University USA,Passed,73.0,BS Accountancy,BS Civil Engineering
Andrew Gonzalez,Harvard University USA,Passed,72.0,BS Civil Engineering,BS Information Technology
Amelia Harris,Stanford University USA,Passed,72.0,BS Information Technology,BS Biology
Abigail Robinson,Harvard University USA,Passed,72.0,BS Biology,BS Accountancy
Harper Jackson,Harvard University USA,Passed,72.0,BS Accountancy,BS Civil Engineering
Michael White,Massachusetts Institute of Technology (MIT) USA,Passed,72.0,BS Civil Engineering,BS Information Technology
Daniel Brown,University of Oxford UK,Passed,72.0,BS Information Technology,BS Biology
Elijah Thomas,Harvard University USA,Passed,71.0,BS Biology,BS Accountancy
Liam Thompson,Harvard University USA,Passed,71.0,BS Accountancy,BS Civil Engineering
Joseph Martinez,Harvard University USA,Passed,70.0,BS Civil Engineering,BS Information Technology
James Taylor,Massachusetts Institute of Technology (MIT) USA,Passed,70.0,BS Information Technology,BS Biology
Ava Clark,Massachusetts Institute of Technology (MIT) USA,Passed,70.0,BS Biology,BS Accountancy
Gabriel Diaz,Harvard University USA,Passed,69.0,BS Accountancy,BS Civil Engineering
Oliver Parker,California Institute of Technology (Caltech) USA,Passed,69.0,BS Civil Engineering,BS Information Technology
Olivia Smith,Harvard University USA,Passed,67.0,BS Information Technology,BS Biology
Ethan Adams,Harvard University USA,Passed,67.0,BS Biology,BS Accountancy
Sofia Garcia,Harvard University USA,Passed,67.0,BS Accountancy,BS Civil Engineering
Jack Reed,University of Oxford UK,Passed,67.0,BS Civil Engineering,BS Information Technology
Henry Gonzalez,Harvard University USA,Passed,67.0,BS Information Technology,BS Biology
Jackson Johnson,Harvard University USA,Passed,66.0,BS Biology,BS Accountancy
William Richardson,California Institute of Technology (Caltech) USA,Passed,66.0,BS Accountancy,BS Civil Engineering
Gabriel Wilson,Imperial College London UK,Passed,66.0,BS Civil Engineering,BS Information Technology
Ava Walker,University of Oxford UK,Passed,66.0,BS Information Technology,BS Biology
Harper Bailey,Harvard University USA,Passed,64.0,BS Biology,BS Accountancy
Alexander Clark,Harvard University USA,Passed,64.0,BS Accountancy,BS Civil Engineering
Michael Evans,Stanford University USA,Passed,63.0,BS Civil Engineering,BS Information Technology
Zoey Jenkins,Stanford University USA,Passed,62.0,BS Information Technology,BS Biology
Camila Rivera,University of Oxford UK,Passed,62.0,BS Accountancy,BS Civil Engineering
Jack Garcia,Harvard University USA,Passed,62.0,BS Civil Engineering,BS Information Technology
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,Passed,62.0,BS Information Technology,BS Biology
Abigail Thomas,University of Oxford UK,Passed,62.0,BS Biology,BS Accountancy
Sophia Carter,Harvard University USA,Passed,61.0,BS Accountancy,BS Civil Engineering
Layla Jackson,Harvard University USA,Passed,61.0,BS Civil Engineering,BS Information Technology
Mia Smith,Stanford University USA,Passed,59.0,BS Information Technology,BS Biology
Sofia Nelson,Stanford University USA,Passed,59.0,BS Biology,BS Accountancy
Elijah Williams,Stanford University USA,Passed,58.0,BS Accountancy,BS Civil Engineering
Charlotte Baker,Stanford University USA,Passed,58.0,BS Civil Engineering,BS Information Technology
Benjamin Green,Stanford University USA,Passed,57.0,BS Information Technology,BS Biology
Matthew Miller,Harvard University USA,Passed,57.0,BS Biology,BS Accountancy
Ella Stewart,Stanford University USA,Passed,57.0,BS Accountancy,BS Civil Engineering
Emily Moore,Stanford University USA,Passed,54.0,BS Civil Engineering,BS Information Technology
Noah Martinez,Harvard University USA,Passed,53.0,BS Information Technology,BS Biology
Grace Hall,Harvard University USA,Passed,51.0,BS Biology,BS Accountancy
Logan Brown,University of Oxford UK,Passed,48.0,BS Accountancy,BS Civil Engineering
Amelia Jones,Massachusetts Institute of Technology (MIT) USA,Passed,46.0,BS Information Technology,BS Biology
Carter Wood,Harvard University USA,Passed,44.0,BS Biology,BS Accountancy
Emma Reed,Harvard University USA,Passed,42.0,BS Accountancy,BS Civil Engineering
Harper Diaz,Harvard University USA,Passed,41.0,BS Civil Engineering,BS Information Technology
Daniel Lee,Stanford University USA,Passed,40.0,BS Information Technology,BS Biology
David Adams,Stanford University USA,Passed,38.0,BS Biology,BS Accountancy
James Scott,Harvard University USA,Passed,38.0,BS Accountancy,BS Civil Engineering
Chloe Anderson,Harvard University USA,Passed,37.0,BS Civil Engineering,BS Information Technology
Oliver Turner,Harvard University USA,Passed,37.0,BS Information Technology,BS Biology
Olivia White,Harvard University USA,Passed,30.0,BS Civil Engineering,BS Information Technology
Lucas Hayes,Stanford University USA,Passed,30.0,BS Information Technology,BS Biology
Aria King,University of Cambridge UK,Passed,30.0,BS Biology,BS Accountancy
Madison Harris,Harvard University USA,Passed,30.0,BS Accountancy,BS Civil Engineering
Aiden Thompson,University of Oxford UK,Passed,30.0,BS Civil Engineering,BS Information Technology
Andrew Phillips,Harvard University USA,Passed,30.0,BS Information Technology,BS Biology
Evelyn Robinson,Harvard University USA,Passed,28.0,BS Biology,BS Accountancy
Avery Lewis,Stanford University USA,Passed,28.0,BS Accountancy,BS Civil Engineering
Ethan Martin,Stanford University USA,Passed,24.0,BS Civil Engineering,BS Information Technology
Nicholas Rodriguez,Harvard University USA,Passed,24.0,BS Information Technology,BS Biology
Samuel Perez,Stanford University USA,Passed,20.0,BS Biology,BS Accountancy
Emily Lee,Massachusetts Institute of Technology (MIT) USA,Passed,5.0,BS Accountancy,BS Civil Engineering
John Doe,Stanford University USA,Passed,0.0,BS Civil Engineering,BS Information Technology
Jane Smith,Harvard University USA,Passed,65.0,BS Information Technology,BS Biology
Michael Johnson,Stanford University USA,Passed,65.0,BS Biology,BS Accountancy
Emily Davis,Stanford University USA,Passed,65.0,BS Accountancy,BS Civil Engineering
Robert Anderson,Harvard University USA,Passed,0.0,BS Civil Engineering,BS Information Technology
Sarah White,Stanford University USA,Passed,65.0,BS Information Technology,BS Biology
Christopher Lee,Harvard University USA,Passed,65.0,BS Biology,BS Accountancy
Olivia Taylor,Harvard University USA,Passed,88.0,BS Accountancy,BS Civil Engineering
Mia Harris,Harvard University USA,Passed,55.0,BS Information Technology,BS Biology
Liam Martin,Harvard University USA,Passed,90.0,BS Biology,BS Accountancy
Ava Garcia,University of Cambridge UK,Passed,0.0,BS Accountancy,BS Civil Engineering
Ethan Wilson,University of Oxford UK,Passed,62.0,BS Civil Engineering,BS Information Technology
Emma Miller,Harvard University USA,Passed,0.0,BS Information Technology,BS Biology
Noah Davis,Harvard University USA,Passed,0.0,BS Biology,BS Accountancy
Sophia Clark,Harvard University USA,Passed,0.0,BS Accountancy,BS Civil Engineering
Mia Johnson,Stanford University USA,Passed,77.0,BS Information Technology,BS Biology
Aiden Thomas,Harvard University USA,Passed,0.0,BS Biology,BS Accountancy
Abigail Moore,Stanford University USA,Passed,86.0,BSED Mathematics,BS Civil Engineering
Jackson Brooks,Harvard University USA,Passed,0.0,BS Criminology,BS Information Technology
Lily Walker,Stanford University USA,Passed,82.0,BS Computer Science,BS Biology
Samuel Hall,Stanford University USA,Passed,89.0,BS Psychology,BS Accountancy
Zoey Adams,Stanford University USA,Passed,57.0,BSED Mathematics,BS Civil Engineering
Owen Turner,Stanford University USA,Passed,76.0,BS Criminology,BS Information Technology
Grace Taylor,Harvard University USA,Passed,0.0,BS Computer Science,BS Biology
Benjamin Scott,Stanford University USA,Passed,64.0,BS Psychology,BS Accountancy
Harper Baker,University of Oxford UK,Passed,94.0,BSED Mathematics,BS Civil Engineering
D,Stanford University USA,Passed,0.0,BS Criminology,BS Information Technology
Natalie King,Stanford University USA,Passed,59.0,BS Computer Science,BS Biology
Isaac Ward,Harvard University USA,Passed,93.0,BS Psychology,BS Accountancy
Aria Lopez,Harvard University USA,Passed,66.0,BSED Mathematics,BS Civil Engineering
James Cooper,Harvard University USA,Passed,74.0,BS Criminology,BS Information Technology
Stella Mitchell,Harvard University USA,Passed,0.0,BS Computer Science,BS Biology
Leo Perez,Harvard University USA,Passed,73.0,BS Psychology,BS Accountancy
Hazel Rivera,Stanford University USA,Passed,0.0,BSED Mathematics,BS Civil Engineering
Elijah Reed,University of Oxford UK,Passed,98.0,BS Criminology,BS Information Technology
Penelope Torres,Harvard University USA,Passed,72.0,BS Computer Science,BS Biology
Wyatt Morgan,Harvard University USA,Passed,61.0,BS Psychology,BS Accountancy
Addison Price,Harvard University USA,Passed,96.0,BSED Mathematics,BS Civil Engineering
Grayson Bell,Harvard University USA,Passed,71.0,BS Criminology,BS Information Technology
Paisley Diaz,Stanford University USA,Passed,54.0,BS Computer Science,BS Biology
Lincoln Coleman,Harvard University USA,Passed,99.0,BS Psychology,BS Accountancy
Gabriella Hayes,Harvard University USA,Passed,70.0,BSED Mathematics,BS Civil Engineering
Zane Stewart,Harvard University USA,Passed,67.0,BS Criminology,BS Information Technology
Bella Turner,Stanford University USA,Passed,95.0,BS Computer Science,BS Biology
Caleb Ross,Stanford University USA,Passed,69.0,BS Psychology,BS Accountancy
Luna Young,Harvard University USA,Passed,53.0,BSED Mathematics,BS Civil Engineering
Mateo Perry,Harvard University USA,Passed,0.0,BS Criminology,BS Information Technology
Hazel Collins,Stanford University USA,Passed,75.0,BS Computer Science,BS Biology
Hudson Hughes,Stanford University USA,Passed,52.0,BS Psychology,BS Accountancy
Aurora Morgan,Massachusetts Institute of Technology (MIT) USA,Passed,89.0,BSED Mathematics,BS Civil Engineering
Carter Brooks,Harvard University USA,Passed,74.0,BS Criminology,BS Information Technology
Nova Ward,Stanford University USA,Passed,51.0,BS Computer Science,BS Biology
Elijah Kelly,Stanford University USA,Passed,93.0,BS Psychology,BS Accountancy
Ivy Powell,Harvard University USA,Passed,77.0,BSED Mathematics,BS Civil Engineering
Sawyer Bailey,Harvard University USA,Passed,58.0,BS Criminology,BS Information Technology
Clara Holmes,Stanford University USA,Passed,87.0,BS Computer Science,BS Biology
Silas Sullivan,Harvard University USA,Passed,76.0,BS Psychology,BS Accountancy
Hazel Olson,Harvard University USA,Passed,55.0,BSED Mathematics,BS Civil Engineering
Lincoln Holmes,Harvard University USA,Passed,91.0,BS Criminology,BS Information Technology
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,Passed,80.0,BS Computer Science,BS Biology
Nolan Turner,Harvard University USA,Passed,63.0,BS Psychology,BS Accountancy
Stella Schmidt,Stanford University USA,Passed,88.0,BSED Mathematics,BS Civil Engineering
Max Thompson,Harvard University USA,Passed,79.0,BS Criminology,BS Information Technology
Mia Harper,Massachusetts Institute of Technology (MIT) USA,Passed,56.0,BS Computer Science,BS Biology
Scarlett Foster,Harvard University USA,Passed,82.0,BSED Mathematics,BS Civil Engineering
Levi Russell,Stanford University USA,Passed,59.0,BS Criminology,BS Information Technology
Evelyn Reed,Harvard University USA,Passed,86.0,BS Computer Science,BS Biology
Jackson Turner,Harvard University USA,Passed,78.0,BS Psychology,BS Accountancy
Harper Coleman,Stanford University USA,Passed,60.0,BSED Mathematics,BS Civil Engineering
Amelia Brooks,Stanford University USA,Passed,92.0,BS Criminology,BS Information Technology
Mason Turner,Harvard University USA,Passed,81.0,BS Computer Science,BS Biology
Zoe Sullivan,Stanford University USA,Passed,57.0,BS Psychology,BS Accountancy
Caleb Turner,Harvard University USA,Passed,94.0,BSED Mathematics,BS Civil Engineering
Aurora Hayes,Stanford University USA,Passed,83.0,BS Criminology,BS Information Technology
Ivy Bell,Harvard University USA,Passed,85.0,BS Psychology,BS Accountancy
John Smith,Stanford University USA,Passed,88.0,BSED Mathematics,BS Civil Engineering
Emily Johnson,Harvard University USA,Passed,70.0,BS Criminology,BS Information Technology
Ethan Parker,Harvard University USA,Passed,95.0,BS Computer Science,BS Biology
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,Passed,85.0,BS Psychology,BS Accountancy
Noah Wilson,University of Oxford UK,Passed,65.0,BSED Mathematics,BS Civil Engineering
Ava Turner,Harvard University USA,Passed,92.0,BS Criminology,BS Information Technology
Logan Davis,Harvard University USA,Passed,60.0,BS Psychology,BS Accountancy
Emma Adams,Massachusetts Institute of Technology (MIT) USA,Passed,87.0,BSED Mathematics,BS Civil Engineering
Daniel Hall,Massachusetts Institute of Technology (MIT) USA,Passed,84.0,BS Criminology,BS Information Technology
Mia Martin,Harvard University USA,Passed,68.0,BS Computer Science,BS Biology
Liam Harris,California Institute of Technology (Caltech) USA,Passed,90.0,BS Psychology,BS Accountancy
Ella Thompson,Harvard University USA,Passed,79.0,BSED Mathematics,BS Civil Engineering
James Carter,Harvard University USA,Passed,63.0,BS Criminology,BS Information Technology
Avery Taylor,Harvard University USA,Passed,91.0,BS Computer Science,BS Biology
Isabella Rodriguez,University of Oxford UK,Passed,77.0,BS Psychology,BS Accountancy
Matthew Lee,Harvard University USA,Passed,55.0,BSED Mathematics,BS Civil Engineering
Evelyn King,Harvard University USA,Passed,86.0,BS Criminology,BS Information Technology
Michael Harris,California Institute of Technology (Caltech) USA,Passed,82.0,BS Computer Science,BS Biology
Aria Scott,Imperial College London UK,Passed,59.0,BS Psychology,BS Accountancy
Elijah Baker,University of Oxford UK,Passed,94.0,BSED Mathematics,BS Civil Engineering
Charlotte Clark,Harvard University USA,Passed,83.0,BS Criminology,BS Information Technology
Lucas Turner,Harvard University USA,Passed,62.0,BS Computer Science,BS Biology
Grace Evans,Stanford University USA,Passed,85.0,BS Psychology,BS Accountancy
Benjamin Turner,Stanford University USA,Passed,88.0,BSED Mathematics,BS Civil Engineering
Hazel Parker,University of Oxford UK,Passed,95.0,BS Computer Science,BS Biology
Zoey Thompson,Harvard University USA,Passed,80.0,BS Psychology,BS Accountancy
Jacob Brooks,Massachusetts Institute of Technology (MIT) USA,Passed,65.0,BSED Mathematics,BS Civil Engineering
Mia Hernandez,University of Oxford UK,Passed,92.0,BS Criminology,BS Information Technology
Landon Davis,Harvard University USA,Passed,78.0,BS Computer Science,BS Biology
Eva Adams,Harvard University USA,Passed,60.0,BS Psychology,BS Accountancy
Jack Hall,Stanford University USA,Passed,87.0,BSED Mathematics,BS Civil Engineering
Ella Miller,Stanford University USA,Passed,84.0,BS Criminology,BS Information Technology
Logan Martin,Stanford University USA,Passed,68.0,BS Computer Science,BS Biology
Avery Harris,Stanford University USA,Passed,90.0,BS Psychology,BS Accountancy
Isabella Thompson,Stanford University USA,Passed,79.0,BSED Mathematics,BS Civil Engineering
Matthew Carter,Harvard University USA,Passed,63.0,BS Criminology,BS Information Technology
Evelyn Taylor,Stanford University USA,Passed,91.0,BS Computer Science,BS Biology
Michael Rodriguez,Stanford University USA,Passed,77.0,BS Psychology,BS Accountancy
Aria Lee,Harvard University USA,Passed,55.0,BSED Mathematics,BS Civil Engineering
Sophie Holmes,Harvard University USA,Passed,86.0,BS Criminology,BS Information Technology
Noah Scott,University of Oxford UK,Passed,82.0,BS Computer Science,BS Biology
Ava Baker,Stanford University USA,Passed,59.0,BS Psychology,BS Accountancy
Olivia Turner,Massachusetts Institute of Technology (MIT) USA,Passed,94.0,BSED Mathematics,BS Civil Engineering
Logan Clark,Harvard University USA,Passed,83.0,BS Criminology,BS Information Technology
Emma Evans,Harvard University USA,Passed,62.0,BS Computer Science,BS Biology
Darryl John,Stanford University USA,Passed,97.0,BSED Mathematics,BS Civil Engineering
Jasmine Parker,Stanford University USA,Passed,79.0,BS Criminology,BS Information Technology
Xavier Montgomery,Stanford University USA,Passed,63.0,BS Computer Science,BS Biology
Emily Rodriguez,Stanford University USA,Passed,91.0,BS Psychology,BS Accountancy
Jacob Patel,Harvard University USA,Passed,77.0,BSED Mathematics,BS Civil Engineering
Olivia Chang,Stanford University USA,Passed,55.0,BS Criminology,BS Information Technology
Lucas Thompson,University of Oxford UK,Passed,86.0,BS Computer Science,BS Biology
Ava Khan,Stanford University USA,Passed,82.0,BS Psychology,BS Accountancy
Benjamin Kim,Stanford University USA,Passed,59.0,BSED Mathematics,BS Civil Engineering
Sophia Gupta,Harvard University USA,Passed,94.0,BS Criminology,BS Information Technology
William Santos,Harvard University USA,Passed,83.0,BS Computer Science,BS Biology
Nathanial Reynolds,Harvard University USA,Passed,62.0,BS Psychology,BS Accountancy
Stella Moore,Harvard University USA,Passed,85.0,BSED Mathematics,BS Civil Engineering
Damian Hunt,Harvard University USA,Passed,88.0,BS Criminology,BS Information Technology
Madeline Griffin,Stanford University USA,Passed,70.0,BS Computer Science,BS Biology
Isaac Park,University of Oxford UK,Passed,95.0,BS Psychology,BS Accountancy
Lydia Foster,Harvard University USA,Passed,80.0,BSED Mathematics,BS Civil Engineering
Mason Donovan,Harvard University USA,Passed,65.0,BS Criminology,BS Information Technology
Penelope Choi,Harvard University USA,Passed,92.0,BS Computer Science,BS Biology
Dominic Clarke,Harvard University USA,Passed,78.0,BS Psychology,BS Accountancy
Violet Nguyen,Stanford University USA,Passed,60.0,BSED Mathematics,BS Civil Engineering
Vincent Barker,Harvard University USA,Passed,87.0,BS Criminology,BS Information Technology
Elise Zimmerman,Harvard University USA,Passed,84.0,BS Computer Science,BS Biology
Desmond Wong,Harvard University USA,Passed,68.0,BS Psychology,BS Accountancy
Harper Bishop,Stanford University USA,Passed,90.0,BSED Mathematics,BS Civil Engineering
Xavier Roth,Stanford University USA,Passed,79.0,BS Criminology,BS Information Technology
Elena Vargas,Harvard University USA,Passed,63.0,BS Computer Science,BS Biology
Garrett Fuller,Harvard University USA,Passed,91.0,BS Psychology,BS Accountancy
Juniper Patel,Stanford University USA,Passed,77.0,BSED Mathematics,BS Civil Engineering
Tristan Shepard,Stanford University USA,Passed,55.0,BS Criminology,BS Information Technology
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,Passed,86.0,BS Computer Science,BS Biology
Roman Sullivan,Harvard University USA,Passed,82.0,BS Psychology,BS Accountancy
Aurora Santos,Stanford University USA,Passed,59.0,BSED Mathematics,BS Civil Engineering
Atticus Hawkins,Stanford University USA,Passed,94.0,BS Criminology,BS Information Technology
Juliette Ruiz,Harvard University USA,Passed,83.0,BS Computer Science,BS Biology
Finnegan Schultz,Harvard University USA,Passed,62.0,BS Psychology,BS Accountancy
Cassandra Graham,Stanford University USA,Passed,85.0,BSED Mathematics,BS Civil Engineering
Silas Flynn,Harvard University USA,Passed,79.0,BS Criminology,BS Information Technology
Kiera Holland,Harvard University USA,Passed,63.0,BS Computer Science,BS Biology
Ezekiel Cameron,Harvard University USA,Passed,91.0,BS Psychology,BS Accountancy
Adrianna Novak,Massachusetts Institute of Technology (MIT) USA,Passed,77.0,BSED Mathematics,BS Civil Engineering
Wesley Carr,Harvard University USA,Failed,55.0,BS Criminology,BS Information Technology
Serenity Heath,Stanford University USA,Failed,86.0,BS Computer Science,BS Biology
Bryce Harrington,Harvard University USA,Failed,82.0,BS Psychology,BS Accountancy
Paisley Delgado,Massachusetts Institute of Technology (MIT) USA,Failed,59.0,BSED Mathematics,BS Civil Engineering
Jonah Weiss,Harvard University USA,Failed,94.0,BS Criminology,BS Information Technology
Sienna Vega,Harvard University USA,Failed,83.0,BS Computer Science,BS Biology
Zachary O'Connell,Stanford University USA,Failed,62.0,BS Psychology,BS Accountancy
Gabrielle Pena,Harvard University USA,Failed,85.0,BSED Mathematics,BS Civil Engineering
Grady McLaughlin,Harvard University USA,Failed,88.0,BS Criminology,BS Information Technology
Amara Soto,Stanford University USA,Failed,70.0,BS Computer Science,BS Biology
Jaxon Rojas,Stanford University USA,Failed,95.0,BS Psychology,BS Accountancy
Leilani Chambers,Harvard University USA,Failed,80.0,BSED Mathematics,BS Civil Engineering
Sawyer Yu,Stanford University USA,Failed,65.0,BS Criminology,BS Information Technology
Anaya Fitzgerald,Harvard University USA,Failed,92.0,BS Computer Science,BS Biology
Tucker Chan,Stanford University USA,Failed,78.0,BS Psychology,BS Accountancy
Adelaide Macias,Harvard University USA,Failed,60.0,BSED Mathematics,BS Civil Engineering
Kaden Ho,Harvard University USA,Failed,87.0,BS Criminology,BS Information Technology
Lillian Maldonado,Stanford University USA,Failed,84.0,BS Computer Science,BS Biology
Rylan Pritchard,Harvard University USA,Failed,68.0,BS Psychology,BS Accountancy
Marina Boone,Harvard University USA,Failed,90.0,BSED Mathematics,BS Civil Engineering
Corbin Cabrera,Massachusetts Institute of Technology (MIT) USA,Failed,79.0,BS Criminology,BS Information Technology
Genevieve Rivas,University of Oxford UK,Failed,63.0,BS Computer Science,BS Biology
Beckham Mahoney,Harvard University USA,Failed,91.0,BS Psychology,BS Accountancy
Evangeline Crosby,Harvard University USA,Failed,77.0,BSED Mathematics,BS Civil Engineering
Solomon Kerr,Harvard University USA,Failed,55.0,BS Criminology,BS Information Technology
Athena Wu,Massachusetts Institute of Technology (MIT) USA,Failed,86.0,BS Computer Science,BS Biology
Keegan Daugherty,Massachusetts Institute of Technology (MIT) USA,Failed,82.0,BS Psychology,BS Accountancy
Madeleine Yu,Harvard University USA,Failed,59.0,BSED Mathematics,BS Civil Engineering
Matthias O'Neill,California Institute of Technology (Caltech) USA,Failed,94.0,BS Criminology,BS Information Technology
Nova Cantu,Harvard University USA,Failed,83.0,BS Computer Science,BS Biology
Orlando Valencia,Harvard University USA,Failed,62.0,BS Psychology,BS Accountancy
Camilla Page,Harvard University USA,Failed,85.0,BSED Mathematics,BS Civil Engineering
Greyson Montoya,University of Oxford UK,Failed,92.0,BS Criminology,BS Information Technology
Luciana Key,Harvard University USA,Failed,78.0,BS Computer Science,BS Biology
Kellan Macdonald,Harvard University USA,Failed,60.0,BS Psychology,BS Accountancy
Camille Conrad,California Institute of Technology (Caltech) USA,Failed,87.0,BSED Mathematics,BS Civil Engineering
Lachlan Bolton,Imperial College London UK,Failed,84.0,BS Criminology,BS Information Technology
Giselle Hanna,University of Oxford UK,Failed,68.0,BS Computer Science,BS Biology
Callum Bender,Harvard University USA,Failed,90.0,BS Psychology,BS Accountancy
Ember Rivera,Harvard University USA,Failed,79.0,BSED Mathematics,BS Civil Engineering
