Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Stella Schmidt,Stanford University USA,Passed,88,87,BSED Mathematics,BS Civil Engineering,30,89,BSED Mathematics,88,Passed
Mia Thomas,Harvard University USA,Passed,97,61,BS Information Technology,BS Biology,30,97,BS Information Technology,88,Passed
Isaac Park,University of Oxford UK,Passed,95,97,BS Psychology,BS Accountancy,30,65,BS Psychology,88,Passed
Jackson Baker,Stanford University USA,Passed,92,78,BS Information Technology,BS Biology,34,88,BS Information Technology,87.5,Passed
Ella Martinez,Harvard University USA,Passed,92,95,BS Biology,BS Accountancy,35,70,BS Biology,87.25,Passed
Aiden Rivera,Stanford University USA,Passed,97,65,BS Information Technology,BS Biology,36,89,BS Information Technology,87,Passed
Harper Turner,Harvard University USA,Passed,97,72,BS Biology,BS Accountancy,36,82,BS Biology,87,Passed
Sofia Lewis,Stanford University USA,Passed,89,86,BS Information Technology,BS Biology,36,84,BS Information Technology,87,Passed
Logan Smith,Stanford University USA,Passed,90,81,BS Biology,BS Accountancy,36,87,BS Biology,87,Passed
Lincoln Coleman,Harvard University USA,Passed,99,62,BS Psychology,BS Accountancy,40,87,BS Psychology,86.75,Passed
Atticus Hawkins,Stanford University USA,Passed,94,65,BS Criminology,BS Information Technology,40,94,BS Criminology,86.75,Passed
Emma Adams,Massachusetts Institute of Technology (MIT) USA,Passed,87,95,BSED Mathematics,BS Civil Engineering,42,76,BSED Mathematics,86.25,Passed
Carter Hall,Harvard University USA,Passed,97,91,BS Civil Engineering,BS Information Technology,42,60,BS Civil Engineering,86.25,Passed
Addison Price,Harvard University USA,Passed,96,78,BSED Mathematics,BS Civil Engineering,42,75,BSED Mathematics,86.25,Passed
Garrett Fuller,Harvard University USA,Passed,91,73,BS Psychology,BS Accountancy,42,90,BS Psychology,86.25,Passed
Aurora Hayes,Stanford University USA,Passed,83,92,BS Criminology,BS Information Technology,42,87,BS Criminology,86.25,Passed
Noah Parker,Harvard University USA,Passed,88,76,BS Information Technology,BS Biology,47,92,BS Information Technology,86,Passed
Aurora Morgan,Massachusetts Institute of Technology (MIT) USA,Passed,89,84,BSED Mathematics,BS Civil Engineering,47,82,BSED Mathematics,86,Passed
Liam Martin,Harvard University USA,Passed,90,66,BS Biology,BS Accountancy,49,97,BS Biology,85.75,Passed
Daniel Adams,University of Oxford UK,Passed,90,70,BS Information Technology,BS Biology,49,93,BS Information Technology,85.75,Passed
Logan Clark,Harvard University USA,Passed,83,86,BS Criminology,BS Information Technology,49,91,BS Criminology,85.75,Passed
Alexander Moore,Harvard University USA,Passed,78,89,BS Biology,BS Accountancy,49,98,BS Biology,85.75,Passed
Charlotte Wilson,Harvard University USA,Passed,88,78,BS Accountancy,BS Civil Engineering,53,88,BS Accountancy,85.5,Passed
Sophia Gupta,Harvard University USA,Passed,94,93,BS Criminology,BS Information Technology,53,61,BS Criminology,85.5,Passed
Mason Turner,Harvard University USA,Passed,81,82,BS Computer Science,BS Biology,53,98,BS Computer Science,85.5,Passed
Evelyn Jenkins,Stanford University USA,Passed,99,76,BS Civil Engineering,BS Information Technology,53,68,BS Civil Engineering,85.5,Passed
Max Thompson,Harvard University USA,Passed,79,95,BS Criminology,BS Information Technology,53,89,BS Criminology,85.5,Passed
Silas Sullivan,Harvard University USA,Passed,76,93,BS Psychology,BS Accountancy,58,96,BS Psychology,85.25,Passed
Jasmine Parker,Stanford University USA,Passed,79,85,BS Criminology,BS Information Technology,58,98,BS Criminology,85.25,Passed
Benjamin Martin,Harvard University USA,Passed,89,93,BS Civil Engineering,BS Information Technology,58,70,BS Civil Engineering,85.25,Passed
Olivia Turner,Massachusetts Institute of Technology (MIT) USA,Passed,94,89,BSED Mathematics,BS Civil Engineering,61,63,BSED Mathematics,85,Passed
Harper Jones,Harvard University USA,Passed,87,95,BS Biology,BS Accountancy,61,71,BS Biology,85,Passed
Harper Baker,University of Oxford UK,Passed,94,86,BSED Mathematics,BS Civil Engineering,63,65,BSED Mathematics,84.75,Passed
Sophie Holmes,Harvard University USA,Passed,86,72,BS Criminology,BS Information Technology,63,95,BS Criminology,84.75,Passed
Ivy Bell,Harvard University USA,Passed,85,96,BS Psychology,BS Accountancy,63,73,BS Accountancy,84.75,Passed
Isabella Thompson,Stanford University USA,Passed,79,87,BSED Mathematics,BS Civil Engineering,66,93,BSED Mathematics,84.5,Passed
Owen Turner,Stanford University USA,Passed,76,97,BS Criminology,BS Information Technology,66,89,BS Criminology,84.5,Passed
Scarlett Cooper,Stanford University USA,Passed,92,78,BS Biology,BS Accountancy,66,76,BS Accountancy,84.5,Passed
Hazel Parker,University of Oxford UK,Passed,95,70,BS Computer Science,BS Biology,66,78,BS Computer Science,84.5,Passed
Nicholas Jones,Harvard University USA,Passed,84,89,BS Biology,BS Accountancy,70,80,BS Accountancy,84.25,Passed
David Martin,Stanford University USA,Passed,86,78,BS Accountancy,BS Civil Engineering,71,86,BS Accountancy,84,Passed
Noah Scott,University of Oxford UK,Passed,82,78,BS Computer Science,BS Biology,72,93,BS Computer Science,83.75,Passed
Silas Flynn,Harvard University USA,Passed,79,100,BS Criminology,BS Information Technology,72,77,BS Criminology,83.75,Passed
Amelia Young,University of Oxford UK,Passed,89,82,BS Biology,BS Accountancy,72,75,BS Accountancy,83.75,Passed
Olivia Richardson,Stanford University USA,Passed,97,76,BS Civil Engineering,BS Information Technology,72,65,BS Information Technology,83.75,Passed
Layla Garcia,Harvard University USA,Passed,90,88,BS Accountancy,BS Civil Engineering,72,67,BS Accountancy,83.75,Passed
Darryl John,Stanford University USA,Passed,97,61,BSED Mathematics,BS Civil Engineering,77,79,BSED Mathematics,83.5,Passed
Scarlett Foster,Harvard University USA,Passed,82,74,BSED Mathematics,BS Civil Engineering,77,96,BSED Mathematics,83.5,Passed
Matthew Johnson,Harvard University USA,Passed,92,88,BS Civil Engineering,BS Information Technology,77,62,BS Information Technology,83.5,Passed
Ethan Carter,Harvard University USA,Passed,87,66,BS Civil Engineering,BS Information Technology,80,93,BS Information Technology,83.25,Passed
Ava Khan,Stanford University USA,Passed,82,71,BS Psychology,BS Accountancy,81,97,BS Accountancy,83,Passed
Emily Rodriguez,Stanford University USA,Passed,91,64,BS Psychology,BS Accountancy,81,86,BS Accountancy,83,Passed
Avery Gonzalez,Harvard University USA,Passed,92,68,BS Civil Engineering,BS Information Technology,81,80,BS Information Technology,83,Passed
Mia Perez,Harvard University USA,Passed,74,86,BS Civil Engineering,BS Information Technology,84,97,BS Information Technology,82.75,Passed
Evelyn King,Harvard University USA,Passed,86,81,BS Criminology,BS Information Technology,84,78,BS Criminology,82.75,Passed
Cassandra Graham,Stanford University USA,Passed,85,80,BSED Mathematics,BS Civil Engineering,86,80,BSED Mathematics,82.5,Passed
Ava White,Stanford University USA,Passed,91,88,BS Civil Engineering,BS Information Technology,86,60,BS Information Technology,82.5,Passed
Zoey Thompson,Harvard University USA,Passed,80,93,BS Psychology,BS Accountancy,86,77,BS Accountancy,82.5,Passed
Lily Walker,Stanford University USA,Passed,82,79,BS Computer Science,BS Biology,89,86,BS Computer Science,82.25,Passed
Henry Baker,Harvard University USA,Passed,73,84,BS Accountancy,BS Civil Engineering,89,99,BS Accountancy,82.25,Passed
Daniel Hall,Massachusetts Institute of Technology (MIT) USA,Passed,84,89,BS Criminology,BS Information Technology,91,71,BS Criminology,82,Passed
Aria Nelson,Stanford University USA,Passed,87,91,BS Accountancy,BS Civil Engineering,91,63,BS Accountancy,82,Passed
Benjamin Scott,Stanford University USA,Passed,64,99,BS Psychology,BS Accountancy,93,100,BS Accountancy,81.75,Passed
Lucas Thompson,University of Oxford UK,Passed,86,79,BS Computer Science,BS Biology,93,76,BS Computer Science,81.75,Passed
Samuel Scott,Harvard University USA,Passed,80,85,BS Biology,BS Accountancy,93,82,BS Accountancy,81.75,Passed
John Smith,Stanford University USA,Passed,88,72,BSED Mathematics,BS Civil Engineering,96,78,BSED Mathematics,81.5,Passed
Scarlett Lee,Stanford University USA,Passed,85,88,BS Accountancy,BS Civil Engineering,96,68,BS Accountancy,81.5,Passed
Elijah Thomas,Harvard University USA,Passed,71,94,BS Biology,BS Accountancy,96,90,BS Accountancy,81.5,Passed
Bella Turner,Stanford University USA,Passed,95,62,BS Computer Science,BS Biology,96,74,BS Computer Science,81.5,Passed
Olivia Smith,Harvard University USA,Passed,67,93,BS Information Technology,BS Biology,96,99,BS Information Technology,81.5,Passed
Mia Brown,Stanford University USA,Passed,90,77,BS Biology,BS Accountancy,101,68,BS Accountancy,81.25,Passed
James Harris,Stanford University USA,Passed,89,84,BS Accountancy,BS Civil Engineering,101,63,BS Accountancy,81.25,Passed
Logan Turner,Stanford University USA,Passed,75,83,BS Biology,BS Accountancy,101,92,BS Accountancy,81.25,Passed
Stella Moore,Harvard University USA,Passed,85,83,BSED Mathematics,BS Civil Engineering,104,71,BSED Mathematics,81,Passed
Ezekiel Cameron,Harvard University USA,Passed,91,65,BS Psychology,BS Accountancy,104,77,BS Accountancy,81,Passed
Xavier Roth,Stanford University USA,Passed,79,82,BS Criminology,BS Information Technology,104,84,BS Criminology,81,Passed
Evelyn Stewart,Stanford University USA,Passed,82,83,BS Accountancy,BS Civil Engineering,104,77,BS Accountancy,81,Passed
Sophia King,Harvard University USA,Passed,94,62,BS Accountancy,BS Civil Engineering,108,73,BS Accountancy,80.75,Passed
Benjamin Richardson,Stanford University USA,Passed,82,97,BS Civil Engineering,BS Information Technology,108,62,BS Information Technology,80.75,Passed
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,Passed,86,89,BS Computer Science,BS Biology,110,60,BS Computer Science,80.25,Passed
Jacob Patel,Harvard University USA,Passed,77,83,BSED Mathematics,BS Civil Engineering,110,84,BSED Mathematics,80.25,Passed
Noah Wilson,University of Oxford UK,Passed,65,91,BSED Mathematics,BS Civil Engineering,112,99,BSED Mathematics,80,Passed
Zoey Hayes,Harvard University USA,Passed,89,68,BS Biology,BS Accountancy,112,74,BS Accountancy,80,Passed
Jack Hall,Stanford University USA,Passed,87,72,BSED Mathematics,BS Civil Engineering,112,74,BSED Mathematics,80,Passed
Lydia Foster,Harvard University USA,Passed,80,60,BSED Mathematics,BS Civil Engineering,115,99,Failed,79.75,Failed
Jack Reed,University of Oxford UK,Passed,67,96,BS Civil Engineering,BS Information Technology,115,89,BS Information Technology,79.75,Passed
Emma Wilson,Massachusetts Institute of Technology (MIT) USA,Passed,78,94,BS Accountancy,BS Civil Engineering,115,69,BS Accountancy,79.75,Passed
Emily Williams,Harvard University USA,Passed,89,63,BS Civil Engineering,BS Information Technology,115,78,BS Information Technology,79.75,Passed
Michael Harris,California Institute of Technology (Caltech) USA,Passed,82,64,BS Computer Science,BS Biology,119,90,BS Computer Science,79.5,Passed
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,Passed,85,80,BS Psychology,BS Accountancy,119,68,BS Accountancy,79.5,Passed
William Santos,Harvard University USA,Passed,83,90,BS Computer Science,BS Biology,119,62,BS Computer Science,79.5,Passed
Zoey Rivera,Stanford University USA,Passed,74,72,BS Information Technology,BS Biology,119,98,BS Information Technology,79.5,Passed
Landon Davis,Harvard University USA,Passed,78,97,BS Computer Science,BS Biology,123,64,BS Computer Science,79.25,Passed
Avery Harris,Stanford University USA,Passed,90,69,BS Psychology,BS Accountancy,123,68,BS Accountancy,79.25,Passed
Harper Jackson,Harvard University USA,Passed,72,79,BS Accountancy,BS Civil Engineering,123,94,BS Accountancy,79.25,Passed
Leo Perez,Harvard University USA,Passed,73,81,BS Psychology,BS Accountancy,123,90,BS Accountancy,79.25,Passed
Elijah Kelly,Stanford University USA,Passed,93,70,BS Psychology,BS Accountancy,127,60,BS Accountancy,79,Passed
Emma Stewart,Stanford University USA,Passed,90,64,BS Civil Engineering,BS Information Technology,127,72,BS Information Technology,79,Passed
Penelope Choi,Harvard University USA,Passed,92,64,BS Computer Science,BS Biology,129,66,BS Computer Science,78.5,Passed
Emily Carter,Harvard University USA,Passed,79,75,BS Civil Engineering,BS Information Technology,129,81,BS Information Technology,78.5,Passed
Avery Taylor,Harvard University USA,Passed,91,71,BS Computer Science,BS Biology,129,61,BS Computer Science,78.5,Passed
Chloe Williams,Stanford University USA,Passed,73,88,BS Civil Engineering,BS Information Technology,129,80,BS Information Technology,78.5,Passed
Avery Green,Stanford University USA,Passed,86,64,BS Civil Engineering,BS Information Technology,133,77,BS Information Technology,78.25,Passed
Dominic Clarke,Harvard University USA,Passed,78,92,BS Psychology,BS Accountancy,134,64,BS Accountancy,78,Passed
Ella Bailey,Harvard University USA,Passed,73,78,BS Information Technology,BS Biology,134,88,BS Information Technology,78,Passed
Aurora Santos,Stanford University USA,Passed,59,100,BSED Mathematics,BS Civil Engineering,134,94,Failed,78,Failed
Liam Harris,California Institute of Technology (Caltech) USA,Passed,90,60,BS Psychology,BS Accountancy,134,72,BS Accountancy,78,Passed
Abigail Moore,Stanford University USA,Passed,86,62,BSED Mathematics,BS Civil Engineering,134,78,Failed,78,Failed
Ivy Powell,Harvard University USA,Passed,77,87,BSED Mathematics,BS Civil Engineering,134,71,Failed,78,Failed
Isaac Ward,Harvard University USA,Passed,93,65,BS Psychology,BS Accountancy,134,61,BS Accountancy,78,Passed
Clara Holmes,Stanford University USA,Passed,87,66,BS Computer Science,BS Biology,141,71,BS Computer Science,77.75,Passed
Sofia Garcia,Harvard University USA,Passed,67,95,BS Accountancy,BS Civil Engineering,141,82,BS Accountancy,77.75,Passed
Sawyer Bailey,Harvard University USA,Passed,58,96,BS Criminology,BS Information Technology,141,99,BS Criminology,77.75,Passed
Hazel Collins,Stanford University USA,Passed,75,77,BS Computer Science,BS Biology,141,84,BS Computer Science,77.75,Passed
Harper Nelson,Stanford University USA,Passed,73,73,BS Biology,BS Accountancy,141,92,BS Accountancy,77.75,Passed
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,Passed,80,80,BS Computer Science,BS Biology,146,70,BS Computer Science,77.5,Passed
Ella Miller,Stanford University USA,Passed,84,75,BS Criminology,BS Information Technology,146,67,BS Criminology,77.5,Passed
Michael Rodriguez,Stanford University USA,Passed,77,62,BS Psychology,BS Accountancy,146,94,BS Accountancy,77.5,Passed
Juliette Ruiz,Harvard University USA,Passed,83,64,BS Computer Science,BS Biology,149,79,BS Computer Science,77.25,Passed
Layla Jackson,Harvard University USA,Passed,61,90,BS Civil Engineering,BS Information Technology,149,97,BS Information Technology,77.25,Passed
Jack Scott,Harvard University USA,Passed,88,66,BS Civil Engineering,BS Information Technology,151,66,BS Information Technology,77,Passed
Elena Vargas,Harvard University USA,Passed,63,98,BS Computer Science,BS Biology,151,84,BS Computer Science,77,Passed
Sofia Nelson,Stanford University USA,Passed,59,92,BS Biology,BS Accountancy,153,97,BS Accountancy,76.75,Passed
Michael White,Massachusetts Institute of Technology (MIT) USA,Passed,72,94,BS Civil Engineering,BS Information Technology,153,69,BS Information Technology,76.75,Passed
Liam Thompson,Harvard University USA,Passed,71,89,BS Accountancy,BS Civil Engineering,153,76,BS Accountancy,76.75,Passed
Johnny Sins,Harvard University USA,Passed,65,98,BS Psychology,BS Accountancy,153,79,BS Accountancy,76.75,Passed
Aiden Wood,Harvard University USA,Passed,86,62,BS Information Technology,BS Biology,157,72,BS Information Technology,76.5,Passed
Finnegan Schultz,Harvard University USA,Passed,62,88,BS Psychology,BS Accountancy,158,93,BS Accountancy,76.25,Passed
Oliver Carter,Stanford University USA,Passed,55,95,BS Psychology,BS Accountancy,158,100,BS Accountancy,76.25,Passed
Aria Lopez,Harvard University USA,Passed,66,92,BSED Mathematics,BS Civil Engineering,158,81,Failed,76.25,Failed
Jackson Anderson,Harvard University USA,Passed,85,73,BS Biology,BS Accountancy,158,62,BS Accountancy,76.25,Passed
Zoey Jenkins,Stanford University USA,Passed,62,94,BS Information Technology,BS Biology,158,87,BS Information Technology,76.25,Passed
Logan Davis,Harvard University USA,Passed,60,96,BS Psychology,BS Accountancy,163,88,BS Accountancy,76,Passed
Madeline Griffin,Stanford University USA,Passed,70,82,BS Computer Science,BS Biology,164,81,BS Computer Science,75.75,Passed
Ethan Adams,Harvard University USA,Passed,67,95,BS Biology,BS Accountancy,164,74,BS Accountancy,75.75,Passed
Adrianna Novak,Massachusetts Institute of Technology (MIT) USA,Passed,77,78,BSED Mathematics,BS Civil Engineering,166,70,Failed,75.5,Failed
Matthew Lewis,Massachusetts Institute of Technology (MIT) USA,Passed,75,76,BS Accountancy,BS Civil Engineering,166,76,BS Accountancy,75.5,Passed
Grayson Bell,Harvard University USA,Passed,71,61,BS Criminology,BS Information Technology,166,99,BS Criminology,75.5,Passed
Charlotte Walker,Harvard University USA,Passed,81,75,BS Information Technology,BS Biology,166,65,BS Information Technology,75.5,Passed
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,Passed,62,87,BS Information Technology,BS Biology,170,90,BS Information Technology,75.25,Passed
Madison Davis,Massachusetts Institute of Technology (MIT) USA,Passed,84,60,BS Information Technology,BS Biology,170,73,BS Information Technology,75.25,Passed
Camila Hayes,Harvard University USA,Passed,75,72,BS Information Technology,BS Biology,172,78,BS Information Technology,75,Passed
Elijah Williams,Stanford University USA,Passed,58,91,BS Accountancy,BS Civil Engineering,172,93,BS Accountancy,75,Passed
Christopher Lee,Harvard University USA,Passed,65,92,BS Biology,BS Accountancy,172,78,BS Accountancy,75,Passed
Lucas Johnson,Stanford University USA,Passed,85,64,BS Civil Engineering,BS Information Technology,175,65,BS Information Technology,74.75,Passed
Aria Evans,Stanford University USA,Passed,76,69,BS Information Technology,BS Biology,175,78,BS Information Technology,74.75,Passed
Alexander Clark,Harvard University USA,Passed,64,100,BS Accountancy,BS Civil Engineering,175,71,Failed,74.75,Failed
Gabriel Wilson,Imperial College London UK,Passed,66,99,BS Civil Engineering,BS Information Technology,175,68,BS Information Technology,74.75,Passed
Benjamin Kim,Stanford University USA,Passed,59,88,BSED Mathematics,BS Civil Engineering,175,93,Failed,74.75,Failed
Ella Thompson,Harvard University USA,Passed,79,60,BSED Mathematics,BS Civil Engineering,180,80,Failed,74.5,Failed
Jackson Turner,Harvard University USA,Passed,78,69,BS Psychology,BS Accountancy,180,73,Failed,74.5,Failed
Paisley Diaz,Stanford University USA,Passed,54,95,BS Computer Science,BS Biology,180,95,BS Computer Science,74.5,Passed
Zane Stewart,Harvard University USA,Passed,67,64,BS Criminology,BS Information Technology,183,99,BS Criminology,74.25,Passed
Levi Russell,Stanford University USA,Passed,59,95,BS Criminology,BS Information Technology,183,84,BS Criminology,74.25,Passed
Mia Johnson,Stanford University USA,Passed,77,71,BS Information Technology,BS Biology,185,71,BS Information Technology,74,Passed
Grace Evans,Stanford University USA,Passed,85,61,BS Psychology,BS Accountancy,185,65,Failed,74,Failed
Layla Phillips,Harvard University USA,Passed,76,68,BS Biology,BS Accountancy,187,75,Failed,73.75,Failed
Michael Evans,Stanford University USA,Passed,63,71,BS Civil Engineering,BS Information Technology,187,98,BS Information Technology,73.75,Passed
Jane Smith,Harvard University USA,Passed,65,97,BS Information Technology,BS Biology,187,68,BS Information Technology,73.75,Passed
William Richardson,California Institute of Technology (Caltech) USA,Passed,66,81,BS Accountancy,BS Civil Engineering,187,82,Failed,73.75,Failed
Emma Evans,Harvard University USA,Passed,62,83,BS Computer Science,BS Biology,187,88,BS Computer Science,73.75,Passed
Daniel Brown,University of Oxford UK,Passed,72,83,BS Information Technology,BS Biology,192,67,BS Information Technology,73.5,Passed
Evelyn Reed,Harvard University USA,Passed,86,61,BS Computer Science,BS Biology,192,61,BS Computer Science,73.5,Passed
Sarah White,Stanford University USA,Passed,65,77,BS Information Technology,BS Biology,192,87,BS Information Technology,73.5,Passed
Matthew Carter,Harvard University USA,Passed,63,90,BS Criminology,BS Information Technology,192,78,BS Criminology,73.5,Passed
Mia Young,Harvard University USA,Passed,77,69,BS Civil Engineering,BS Information Technology,196,70,BS Information Technology,73.25,Passed
Gabriel Diaz,Harvard University USA,Passed,69,86,BS Accountancy,BS Civil Engineering,196,69,Failed,73.25,Failed
Gabriella Hayes,Harvard University USA,Passed,70,64,BSED Mathematics,BS Civil Engineering,196,89,Failed,73.25,Failed
Ava Clark,Massachusetts Institute of Technology (MIT) USA,Passed,70,62,BS Biology,BS Accountancy,199,90,Failed,73,Failed
Charlotte Clark,Harvard University USA,Passed,83,61,BS Criminology,BS Information Technology,200,64,BS Criminology,72.75,Passed
Mason Donovan,Harvard University USA,Passed,65,94,BS Criminology,BS Information Technology,200,67,BS Criminology,72.75,Passed
Camila Rivera,University of Oxford UK,Passed,62,96,BS Accountancy,BS Civil Engineering,200,71,Failed,72.75,Failed
Amelia Harris,Stanford University USA,Passed,72,76,BS Information Technology,BS Biology,200,71,BS Information Technology,72.75,Passed
William Rodriguez,Stanford University USA,Passed,80,71,BS Accountancy,BS Civil Engineering,200,60,Failed,72.75,Failed
Juniper Patel,Stanford University USA,Passed,77,75,BSED Mathematics,BS Civil Engineering,205,61,Failed,72.5,Failed
Jacob Brooks,Massachusetts Institute of Technology (MIT) USA,Passed,65,94,BSED Mathematics,BS Civil Engineering,205,66,Failed,72.5,Failed
Ethan Wilson,University of Oxford UK,Passed,62,92,BS Civil Engineering,BS Information Technology,205,74,BS Information Technology,72.5,Passed
Logan Martin,Stanford University USA,Passed,68,91,BS Computer Science,BS Biology,205,63,BS Computer Science,72.5,Passed
Mia Harper,Massachusetts Institute of Technology (MIT) USA,Passed,56,98,BS Computer Science,BS Biology,209,79,BS Computer Science,72.25,Passed
Isabella Rodriguez,University of Oxford UK,Passed,77,65,BS Psychology,BS Accountancy,209,70,Failed,72.25,Failed
Wyatt Morgan,Harvard University USA,Passed,61,99,BS Psychology,BS Accountancy,211,67,Failed,72,Failed
Roman Sullivan,Harvard University USA,Passed,82,61,BS Psychology,BS Accountancy,211,63,Failed,72,Failed
Desmond Wong,Harvard University USA,Passed,68,65,BS Psychology,BS Accountancy,211,87,Failed,72,Failed
Andrew Gonzalez,Harvard University USA,Passed,72,64,BS Civil Engineering,BS Information Technology,211,80,BS Information Technology,72,Passed
Mia Harris,Harvard University USA,Passed,55,77,BS Information Technology,BS Biology,215,99,BS Information Technology,71.5,Passed
James Taylor,Massachusetts Institute of Technology (MIT) USA,Passed,70,63,BS Information Technology,BS Biology,215,83,BS Information Technology,71.5,Passed
Charlotte Baker,Stanford University USA,Passed,58,77,BS Civil Engineering,BS Information Technology,215,93,BS Information Technology,71.5,Passed
Emily Johnson,Harvard University USA,Passed,70,67,BS Criminology,BS Information Technology,215,79,BS Criminology,71.5,Passed
Abigail Robinson,Harvard University USA,Passed,72,71,BS Biology,BS Accountancy,215,71,Failed,71.5,Failed
Violet Nguyen,Stanford University USA,Passed,60,72,BSED Mathematics,BS Civil Engineering,215,94,Failed,71.5,Failed
Carter Brooks,Harvard University USA,Passed,74,64,BS Criminology,BS Information Technology,221,73,BS Criminology,71.25,Passed
Lily Miller,Harvard University USA,Passed,74,63,BS Accountancy,BS Civil Engineering,221,74,Failed,71.25,Failed
Emily Davis,Stanford University USA,Passed,65,78,BS Accountancy,BS Civil Engineering,221,77,Failed,71.25,Failed
Kiera Holland,Harvard University USA,Passed,63,82,BS Computer Science,BS Biology,224,76,BS Computer Science,71,Passed
Grace Cooper,Harvard University USA,Passed,74,63,BS Accountancy,BS Civil Engineering,224,73,Failed,71,Failed
Harper Coleman,Stanford University USA,Passed,60,71,BSED Mathematics,BS Civil Engineering,224,93,Failed,71,Failed
Nolan Turner,Harvard University USA,Passed,63,91,BS Psychology,BS Accountancy,227,66,Failed,70.75,Failed
Oliver Parker,California Institute of Technology (Caltech) USA,Passed,69,62,BS Civil Engineering,BS Information Technology,227,83,BS Information Technology,70.75,Passed
James Carter,Harvard University USA,Passed,63,64,BS Criminology,BS Information Technology,227,93,BS Criminology,70.75,Passed
Matthew Lee,Harvard University USA,Passed,55,83,BSED Mathematics,BS Civil Engineering,227,90,Failed,70.75,Failed
