Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course
Ava Clark,Massachusetts Institute of Technology (MIT) USA,Passed,70,62,BS Biology,BS Accountancy,24,90,
Ava Garcia,University of Cambridge UK,Passed,0,86,BS Accountancy,BS Civil Engineering,36,67,
Ava Khan,Stanford University USA,Passed,82,71,BS Psychology,BS Accountancy,15,97,
Ava Turner,Harvard University USA,Passed,92,88,BS Criminology,BS Information Technology,5,87,
Ava Walker,University of Oxford UK,Passed,66,75,BS Information Technology,BS Biology,23,75,
Ava White,Stanford University USA,Passed,91,88,BS Civil Engineering,BS Information Technology,7,60,
Avery Gonzalez,Harvard University USA,Passed,92,68,BS Civil Engineering,BS Information Technology,5,80,
Avery Green,Stanford University USA,Passed,86,64,BS Civil Engineering,BS Information Technology,13,77,
Avery Harris,Stanford University USA,Passed,90,69,BS Psychology,BS Accountancy,8,68,
Avery Lewis,Stanford University USA,Passed,28,83,BS Accountancy,BS Civil Engineering,34,69,
Avery Taylor,Harvard University USA,Passed,91,71,BS Computer Science,BS Biology,6,61,
Bella Turner,Stanford University USA,Passed,95,62,BS Computer Science,BS Biology,2,74,
Benjamin Green,Stanford University USA,Passed,57,68,BS Information Technology,BS Biology,29,72,
Benjamin Kim,Stanford University USA,Passed,59,88,BSED Mathematics,BS Civil Engineering,33,93,
Benjamin Martin,Harvard University USA,Passed,89,93,BS Civil Engineering,BS Information Technology,10,70,
Benjamin Richardson,Stanford University USA,Passed,82,97,BS Civil Engineering,BS Information Technology,15,62,
Benjamin Scott,Stanford University USA,Passed,64,99,BS Psychology,BS Accountancy,26,100,
Benjamin Turner,Stanford University USA,Passed,88,98,BSED Mathematics,BS Civil Engineering,10,83,
Caleb Ross,Stanford University USA,Passed,69,60,BS Psychology,BS Accountancy,23,74,
Caleb Turner,Harvard University USA,Passed,94,89,BSED Mathematics,BS Civil Engineering,4,97,
Camila Hayes,Harvard University USA,Passed,75,72,BS Information Technology,BS Biology,15,78,
Camila Rivera,University of Oxford UK,Passed,62,96,BS Accountancy,BS Civil Engineering,26,71,
Carter Brooks,Harvard University USA,Passed,74,64,BS Criminology,BS Information Technology,22,73,
Carter Hall,Harvard University USA,Passed,97,91,BS Civil Engineering,BS Information Technology,3,60,
Carter Wood,Harvard University USA,Passed,44,79,BS Biology,BS Accountancy,34,94,
Cassandra Graham,Stanford University USA,Passed,85,80,BSED Mathematics,BS Civil Engineering,17,80,
Charlotte Baker,Stanford University USA,Passed,58,77,BS Civil Engineering,BS Information Technology,31,93,
Charlotte Clark,Harvard University USA,Passed,83,61,BS Criminology,BS Information Technology,15,64,
Charlotte Walker,Harvard University USA,Passed,81,75,BS Information Technology,BS Biology,12,65,
Charlotte Wilson,Harvard University USA,Passed,88,78,BS Accountancy,BS Civil Engineering,7,88,
Chloe Anderson,Harvard University USA,Passed,37,96,BS Civil Engineering,BS Information Technology,34,71,
Chloe Moore,Stanford University USA,Passed,98,96,BS Biology,BS Accountancy,2,69,
Chloe Williams,Stanford University USA,Passed,73,88,BS Civil Engineering,BS Information Technology,20,80,
Christopher Lee,Harvard University USA,Passed,65,92,BS Biology,BS Accountancy,28,78,
Clara Holmes,Stanford University USA,Passed,87,66,BS Computer Science,BS Biology,8,71,
D,Stanford University USA,Passed,0,94,BS Criminology,BS Information Technology,35,89,
Damian Hunt,Harvard University USA,Passed,88,98,BS Criminology,BS Information Technology,8,80,
Daniel Adams,University of Oxford UK,Passed,90,70,BS Information Technology,BS Biology,6,93,
Daniel Brown,University of Oxford UK,Passed,72,83,BS Information Technology,BS Biology,19,67,
Daniel Hall,Massachusetts Institute of Technology (MIT) USA,Passed,84,89,BS Criminology,BS Information Technology,13,71,
Daniel Lee,Stanford University USA,Passed,40,60,BS Information Technology,BS Biology,33,91,
Darryl John,Stanford University USA,Passed,97,61,BSED Mathematics,BS Civil Engineering,2,79,
David Adams,Stanford University USA,Passed,38,77,BS Biology,BS Accountancy,35,75,
David Martin,Stanford University USA,Passed,86,78,BS Accountancy,BS Civil Engineering,10,86,
David Rodriguez,Harvard University USA,Passed,88,81,BS Biology,BS Accountancy,13,98,
Desmond Wong,Harvard University USA,Passed,68,65,BS Psychology,BS Accountancy,24,87,
Dominic Clarke,Harvard University USA,Passed,78,92,BS Psychology,BS Accountancy,18,64,
Elena Vargas,Harvard University USA,Passed,63,98,BS Computer Science,BS Biology,27,84,
Elijah Baker,University of Oxford UK,Passed,94,94,BSED Mathematics,BS Civil Engineering,7,96,
Elijah Kelly,Stanford University USA,Passed,93,70,BS Psychology,BS Accountancy,4,60,
Elijah Reed,University of Oxford UK,Passed,98,91,BS Criminology,BS Information Technology,1,98,
Elijah Robinson,Harvard University USA,Passed,89,95,BS Information Technology,BS Biology,7,86,
Elijah Thomas,Harvard University USA,Passed,71,94,BS Biology,BS Accountancy,23,90,
Elijah Williams,Stanford University USA,Passed,58,91,BS Accountancy,BS Civil Engineering,28,93,
Elise Zimmerman,Harvard University USA,Passed,84,88,BS Computer Science,BS Biology,12,98,
Ella Bailey,Harvard University USA,Passed,73,78,BS Information Technology,BS Biology,17,88,
Ella Martinez,Harvard University USA,Passed,92,95,BS Biology,BS Accountancy,7,70,
Ella Miller,Stanford University USA,Passed,84,75,BS Criminology,BS Information Technology,12,67,
Ella Stewart,Stanford University USA,Passed,57,61,BS Accountancy,BS Civil Engineering,29,72,
Ella Thompson,Harvard University USA,Passed,79,60,BSED Mathematics,BS Civil Engineering,21,80,
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,Passed,86,89,BS Computer Science,BS Biology,9,60,
Emily Carter,Harvard University USA,Passed,79,75,BS Civil Engineering,BS Information Technology,16,81,
Emily Davis,Stanford University USA,Passed,65,78,BS Accountancy,BS Civil Engineering,24,77,
Emily Johnson,Harvard University USA,Passed,70,67,BS Criminology,BS Information Technology,25,79,
Emily Lee,Massachusetts Institute of Technology (MIT) USA,Passed,5,70,BS Accountancy,BS Civil Engineering,35,72,
Emily Moore,Stanford University USA,Passed,54,66,BS Civil Engineering,BS Information Technology,32,65,
Emily Rodriguez,Stanford University USA,Passed,91,64,BS Psychology,BS Accountancy,5,86,
Emily Williams,Harvard University USA,Passed,89,63,BS Civil Engineering,BS Information Technology,9,78,
Emma Adams,Massachusetts Institute of Technology (MIT) USA,Passed,87,95,BSED Mathematics,BS Civil Engineering,14,76,
Emma Evans,Harvard University USA,Passed,62,83,BS Computer Science,BS Biology,30,88,
Emma Miller,Harvard University USA,Passed,0,65,BS Information Technology,BS Biology,38,95,
Emma Reed,Harvard University USA,Passed,42,72,BS Accountancy,BS Civil Engineering,31,87,
Emma Stewart,Stanford University USA,Passed,90,64,BS Civil Engineering,BS Information Technology,8,72,
Emma Wilson,Massachusetts Institute of Technology (MIT) USA,Passed,78,94,BS Accountancy,BS Civil Engineering,14,69,
Ethan Adams,Harvard University USA,Passed,67,95,BS Biology,BS Accountancy,25,74,
Ethan Carter,Harvard University USA,Passed,87,66,BS Civil Engineering,BS Information Technology,12,93,
Ethan Martin,Stanford University USA,Passed,24,69,BS Civil Engineering,BS Information Technology,37,60,
Ethan Parker,Harvard University USA,Passed,95,76,BS Computer Science,BS Biology,4,89,
Ethan Wilson,University of Oxford UK,Passed,62,92,BS Civil Engineering,BS Information Technology,28,74,
Eva Adams,Harvard University USA,Passed,60,76,BS Psychology,BS Accountancy,31,61,
Evelyn Jenkins,Stanford University USA,Passed,99,76,BS Civil Engineering,BS Information Technology,1,68,
Evelyn King,Harvard University USA,Passed,86,81,BS Criminology,BS Information Technology,11,78,
Evelyn Reed,Harvard University USA,Passed,86,61,BS Computer Science,BS Biology,11,61,
Evelyn Robinson,Harvard University USA,Passed,28,73,BS Biology,BS Accountancy,37,92,
Evelyn Stewart,Stanford University USA,Passed,82,83,BS Accountancy,BS Civil Engineering,12,77,
Evelyn Taylor,Stanford University USA,Passed,91,79,BS Computer Science,BS Biology,7,99,
Ezekiel Cameron,Harvard University USA,Passed,91,65,BS Psychology,BS Accountancy,6,77,
Finnegan Schultz,Harvard University USA,Passed,62,88,BS Psychology,BS Accountancy,29,93,
Gabriel Diaz,Harvard University USA,Passed,69,86,BS Accountancy,BS Civil Engineering,21,69,
Gabriel Wilson,Imperial College London UK,Passed,66,99,BS Civil Engineering,BS Information Technology,26,68,
Gabriella Hayes,Harvard University USA,Passed,70,64,BSED Mathematics,BS Civil Engineering,26,89,
Garrett Fuller,Harvard University USA,Passed,91,73,BS Psychology,BS Accountancy,7,90,
Grace Cooper,Harvard University USA,Passed,74,63,BS Accountancy,BS Civil Engineering,17,73,
Grace Evans,Stanford University USA,Passed,85,61,BS Psychology,BS Accountancy,13,65,
Grace Hall,Harvard University USA,Passed,51,81,BS Biology,BS Accountancy,33,74,
Grace Taylor,Harvard University USA,Passed,0,95,BS Computer Science,BS Biology,35,78,
Grayson Bell,Harvard University USA,Passed,71,61,BS Criminology,BS Information Technology,24,99,
Harper Bailey,Harvard University USA,Passed,64,72,BS Biology,BS Accountancy,29,72,
Harper Baker,University of Oxford UK,Passed,94,86,BSED Mathematics,BS Civil Engineering,5,65,
Harper Bishop,Stanford University USA,Passed,90,98,BSED Mathematics,BS Civil Engineering,8,84,
Harper Coleman,Stanford University USA,Passed,60,71,BSED Mathematics,BS Civil Engineering,31,93,
Harper Diaz,Harvard University USA,Passed,41,89,BS Civil Engineering,BS Information Technology,33,96,
Harper Jackson,Harvard University USA,Passed,72,79,BS Accountancy,BS Civil Engineering,19,94,
Harper Jones,Harvard University USA,Passed,87,95,BS Biology,BS Accountancy,14,71,
Harper Nelson,Stanford University USA,Passed,73,73,BS Biology,BS Accountancy,21,92,
Harper Turner,Harvard University USA,Passed,97,72,BS Biology,BS Accountancy,3,82,
Hazel Collins,Stanford University USA,Passed,75,77,BS Computer Science,BS Biology,21,84,
Hazel Olson,Harvard University USA,Passed,55,93,BSED Mathematics,BS Civil Engineering,37,66,
Hazel Parker,University of Oxford UK,Passed,95,70,BS Computer Science,BS Biology,3,78,
Hazel Rivera,Stanford University USA,Passed,0,74,BSED Mathematics,BS Civil Engineering,39,71,
Henry Baker,Harvard University USA,Passed,73,84,BS Accountancy,BS Civil Engineering,18,99,
Henry Gonzalez,Harvard University USA,Passed,67,75,BS Information Technology,BS Biology,22,64,
Henry Perez,Stanford University USA,Passed,91,78,BS Accountancy,BS Civil Engineering,4,99,
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,Passed,100,96,BS Computer Science,BS Biology,1,71,
Hudson Hughes,Stanford University USA,Passed,52,85,BS Psychology,BS Accountancy,37,79,
Isaac Park,University of Oxford UK,Passed,95,97,BS Psychology,BS Accountancy,2,65,
Isaac Ward,Harvard University USA,Passed,93,65,BS Psychology,BS Accountancy,3,61,
Isabella Rodriguez,University of Oxford UK,Passed,77,65,BS Psychology,BS Accountancy,20,70,
Isabella Thompson,Stanford University USA,Passed,79,87,BSED Mathematics,BS Civil Engineering,20,93,
Ivy Bell,Harvard University USA,Passed,85,96,BS Psychology,BS Accountancy,12,73,
Ivy Powell,Harvard University USA,Passed,77,87,BSED Mathematics,BS Civil Engineering,23,71,
Jack Garcia,Harvard University USA,Passed,62,77,BS Civil Engineering,BS Information Technology,29,80,
Jack Hall,Stanford University USA,Passed,87,72,BSED Mathematics,BS Civil Engineering,13,74,
Jack Reed,University of Oxford UK,Passed,67,96,BS Civil Engineering,BS Information Technology,25,89,
Jack Scott,Harvard University USA,Passed,88,66,BS Civil Engineering,BS Information Technology,11,66,
Jackson Anderson,Harvard University USA,Passed,85,73,BS Biology,BS Accountancy,15,62,
Jackson Baker,Stanford University USA,Passed,92,78,BS Information Technology,BS Biology,5,88,
Jackson Brooks,Harvard University USA,Passed,0,93,BS Criminology,BS Information Technology,36,92,
Jackson Johnson,Harvard University USA,Passed,66,63,BS Biology,BS Accountancy,26,78,
Jackson Turner,Harvard University USA,Passed,78,69,BS Psychology,BS Accountancy,17,73,
Jacob Brooks,Massachusetts Institute of Technology (MIT) USA,Passed,65,94,BSED Mathematics,BS Civil Engineering,29,66,
Jacob Patel,Harvard University USA,Passed,77,83,BSED Mathematics,BS Civil Engineering,25,84,
James Carter,Harvard University USA,Passed,63,64,BS Criminology,BS Information Technology,28,93,
James Cooper,Harvard University USA,Passed,74,68,BS Criminology,BS Information Technology,23,61,
James Harris,Stanford University USA,Passed,89,84,BS Accountancy,BS Civil Engineering,6,63,
James Scott,Harvard University USA,Passed,38,83,BS Accountancy,BS Civil Engineering,32,78,
James Taylor,Massachusetts Institute of Technology (MIT) USA,Passed,70,63,BS Information Technology,BS Biology,20,83,
Jane Smith,Harvard University USA,Passed,65,97,BS Information Technology,BS Biology,25,68,
Jasmine Parker,Stanford University USA,Passed,79,85,BS Criminology,BS Information Technology,20,98,
John Doe,Stanford University USA,Passed,0,99,BS Civil Engineering,BS Information Technology,38,64,
John Smith,Stanford University USA,Passed,88,72,BSED Mathematics,BS Civil Engineering,12,78,
Johnny Sins,Harvard University USA,Passed,65,98,BS Psychology,BS Accountancy,25,79,
Joseph Diaz,Harvard University USA,Passed,95,88,BS Civil Engineering,BS Information Technology,4,74,
Joseph Martinez,Harvard University USA,Passed,70,60,BS Civil Engineering,BS Information Technology,23,79,
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,Passed,62,87,BS Information Technology,BS Biology,27,90,
Juliette Ruiz,Harvard University USA,Passed,83,64,BS Computer Science,BS Biology,13,79,
Juniper Patel,Stanford University USA,Passed,77,75,BSED Mathematics,BS Civil Engineering,24,61,
Kiera Holland,Harvard University USA,Passed,63,82,BS Computer Science,BS Biology,26,76,
Landon Davis,Harvard University USA,Passed,78,97,BS Computer Science,BS Biology,20,64,
Layla Garcia,Harvard University USA,Passed,90,88,BS Accountancy,BS Civil Engineering,5,67,
Layla Jackson,Harvard University USA,Passed,61,90,BS Civil Engineering,BS Information Technology,30,97,
Layla Phillips,Harvard University USA,Passed,76,68,BS Biology,BS Accountancy,19,75,
Leo Perez,Harvard University USA,Passed,73,81,BS Psychology,BS Accountancy,22,90,
Levi Russell,Stanford University USA,Passed,59,95,BS Criminology,BS Information Technology,30,84,
Liam Harris,California Institute of Technology (Caltech) USA,Passed,90,60,BS Psychology,BS Accountancy,9,72,
Liam Martin,Harvard University USA,Passed,90,66,BS Biology,BS Accountancy,8,97,
Liam Taylor,Harvard University USA,Passed,100,79,BS Accountancy,BS Civil Engineering,1,74,
Liam Thompson,Harvard University USA,Passed,71,89,BS Accountancy,BS Civil Engineering,20,76,
Lily Davis,Harvard University USA,Passed,92,85,BS Information Technology,BS Biology,4,91,
Lily Miller,Harvard University USA,Passed,74,63,BS Accountancy,BS Civil Engineering,16,74,
Lily Walker,Stanford University USA,Passed,82,79,BS Computer Science,BS Biology,17,86,
Lincoln Coleman,Harvard University USA,Passed,99,62,BS Psychology,BS Accountancy,1,87,
Lincoln Holmes,Harvard University USA,Passed,91,98,BS Criminology,BS Information Technology,7,76,
Logan Brown,University of Oxford UK,Passed,48,86,BS Accountancy,BS Civil Engineering,30,76,
Logan Clark,Harvard University USA,Passed,83,86,BS Criminology,BS Information Technology,14,91,
Logan Davis,Harvard University USA,Passed,60,96,BS Psychology,BS Accountancy,32,88,
Logan Martin,Stanford University USA,Passed,68,91,BS Computer Science,BS Biology,25,63,
Logan Smith,Stanford University USA,Passed,90,81,BS Biology,BS Accountancy,10,87,
Logan Turner,Stanford University USA,Passed,75,83,BS Biology,BS Accountancy,20,92,
Lucas Evans,University of Oxford UK,Passed,96,87,BS Biology,BS Accountancy,4,77,
Lucas Hayes,Stanford University USA,Passed,30,72,BS Information Technology,BS Biology,35,67,
Lucas Johnson,Stanford University USA,Passed,85,64,BS Civil Engineering,BS Information Technology,14,65,
Lucas Thompson,University of Oxford UK,Passed,86,79,BS Computer Science,BS Biology,10,76,
Lucas Turner,Harvard University USA,Passed,62,74,BS Computer Science,BS Biology,29,66,
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,Passed,80,80,BS Computer Science,BS Biology,19,70,
Luna Young,Harvard University USA,Passed,53,82,BSED Mathematics,BS Civil Engineering,38,60,
Lydia Foster,Harvard University USA,Passed,80,60,BSED Mathematics,BS Civil Engineering,19,99,
Madeline Griffin,Stanford University USA,Passed,70,82,BS Computer Science,BS Biology,23,81,
Madison Davis,Massachusetts Institute of Technology (MIT) USA,Passed,84,60,BS Information Technology,BS Biology,11,73,
Madison Harris,Harvard University USA,Passed,30,91,BS Accountancy,BS Civil Engineering,33,82,
Madison Lee,Stanford University USA,Passed,97,95,BS Accountancy,BS Civil Engineering,2,72,
Mason Donovan,Harvard University USA,Passed,65,94,BS Criminology,BS Information Technology,27,67,
Mason Turner,Harvard University USA,Passed,81,82,BS Computer Science,BS Biology,18,98,
Mateo Perry,Harvard University USA,Passed,0,89,BS Criminology,BS Information Technology,34,68,
Matthew Carter,Harvard University USA,Passed,63,90,BS Criminology,BS Information Technology,29,78,
Matthew Johnson,Harvard University USA,Passed,92,88,BS Civil Engineering,BS Information Technology,6,62,
Matthew Lee,Harvard University USA,Passed,55,83,BSED Mathematics,BS Civil Engineering,35,90,
Matthew Lewis,Massachusetts Institute of Technology (MIT) USA,Passed,75,76,BS Accountancy,BS Civil Engineering,15,76,
Matthew Miller,Harvard University USA,Passed,57,72,BS Biology,BS Accountancy,32,71,
Max Thompson,Harvard University USA,Passed,79,95,BS Criminology,BS Information Technology,18,89,
Mia Brown,Stanford University USA,Passed,90,77,BS Biology,BS Accountancy,9,68,
Mia Harper,Massachusetts Institute of Technology (MIT) USA,Passed,56,98,BS Computer Science,BS Biology,32,79,
Mia Harris,Harvard University USA,Passed,55,77,BS Information Technology,BS Biology,30,99,
Mia Hernandez,University of Oxford UK,Passed,92,78,BS Criminology,BS Information Technology,6,91,
Mia Johnson,Stanford University USA,Passed,77,71,BS Information Technology,BS Biology,13,71,
Mia Martin,Harvard University USA,Passed,68,61,BS Computer Science,BS Biology,24,85,
Mia Perez,Harvard University USA,Passed,74,86,BS Civil Engineering,BS Information Technology,19,97,
Mia Smith,Stanford University USA,Passed,59,79,BS Information Technology,BS Biology,28,77,
Mia Thomas,Harvard University USA,Passed,97,61,BS Information Technology,BS Biology,2,97,
Mia Young,Harvard University USA,Passed,77,69,BS Civil Engineering,BS Information Technology,17,70,
Michael Evans,Stanford University USA,Passed,63,71,BS Civil Engineering,BS Information Technology,27,98,
Michael Harris,California Institute of Technology (Caltech) USA,Passed,82,64,BS Computer Science,BS Biology,16,90,
Michael Johnson,Stanford University USA,Passed,65,66,BS Biology,BS Accountancy,27,78,
Michael Rodriguez,Stanford University USA,Passed,77,62,BS Psychology,BS Accountancy,19,94,
Michael White,Massachusetts Institute of Technology (MIT) USA,Passed,72,94,BS Civil Engineering,BS Information Technology,22,69,
Natalie King,Stanford University USA,Passed,59,82,BS Computer Science,BS Biology,31,69,
Nathanial Reynolds,Harvard University USA,Passed,62,78,BS Psychology,BS Accountancy,28,65,
Nicholas Jones,Harvard University USA,Passed,84,89,BS Biology,BS Accountancy,16,80,
Nicholas Rodriguez,Harvard University USA,Passed,24,62,BS Information Technology,BS Biology,37,91,
Noah Davis,Harvard University USA,Passed,0,64,BS Biology,BS Accountancy,39,74,
Noah Jenkins,Harvard University USA,Passed,75,60,BS Civil Engineering,BS Information Technology,18,70,
Noah Martinez,Harvard University USA,Passed,53,71,BS Information Technology,BS Biology,31,63,
Noah Parker,Harvard University USA,Passed,88,76,BS Information Technology,BS Biology,9,92,
Noah Scott,University of Oxford UK,Passed,82,78,BS Computer Science,BS Biology,15,93,
Noah Wilson,University of Oxford UK,Passed,65,91,BSED Mathematics,BS Civil Engineering,28,99,
Nolan Turner,Harvard University USA,Passed,63,91,BS Psychology,BS Accountancy,27,66,
Nova Ward,Stanford University USA,Passed,51,98,BS Computer Science,BS Biology,34,60,
Oliver Carter,Stanford University USA,Passed,55,95,BS Psychology,BS Accountancy,36,100,
Oliver Parker,California Institute of Technology (Caltech) USA,Passed,69,62,BS Civil Engineering,BS Information Technology,24,83,
Oliver Turner,Harvard University USA,Passed,37,71,BS Information Technology,BS Biology,34,65,
Olivia Chang,Stanford University USA,Passed,55,67,BS Criminology,BS Information Technology,32,96,
Olivia Richardson,Stanford University USA,Passed,97,76,BS Civil Engineering,BS Information Technology,2,65,
Olivia Smith,Harvard University USA,Passed,67,93,BS Information Technology,BS Biology,21,99,
Olivia Taylor,Harvard University USA,Passed,88,97,BS Accountancy,BS Civil Engineering,8,86,
Olivia Turner,Massachusetts Institute of Technology (MIT) USA,Passed,94,89,BSED Mathematics,BS Civil Engineering,6,63,
Olivia White,Harvard University USA,Passed,30,72,BS Civil Engineering,BS Information Technology,35,60,
Owen Turner,Stanford University USA,Passed,76,97,BS Criminology,BS Information Technology,21,89,
Paisley Diaz,Stanford University USA,Passed,54,95,BS Computer Science,BS Biology,33,95,
Penelope Choi,Harvard University USA,Passed,92,64,BS Computer Science,BS Biology,5,66,
Penelope Torres,Harvard University USA,Passed,72,70,BS Computer Science,BS Biology,22,68,
Robert Anderson,Harvard University USA,Passed,0,94,BS Civil Engineering,BS Information Technology,39,67,
Roman Sullivan,Harvard University USA,Passed,82,61,BS Psychology,BS Accountancy,14,63,
Samuel Hall,Stanford University USA,Passed,89,79,BS Psychology,BS Accountancy,10,100,
Samuel Perez,Stanford University USA,Passed,20,87,BS Biology,BS Accountancy,38,97,
Samuel Scott,Harvard University USA,Passed,80,85,BS Biology,BS Accountancy,17,82,
Sarah White,Stanford University USA,Passed,65,77,BS Information Technology,BS Biology,24,87,
Sawyer Bailey,Harvard University USA,Passed,58,96,BS Criminology,BS Information Technology,31,99,
Scarlett Cooper,Stanford University USA,Passed,92,78,BS Biology,BS Accountancy,6,76,
Scarlett Foster,Harvard University USA,Passed,82,74,BSED Mathematics,BS Civil Engineering,18,96,
Scarlett Lee,Stanford University USA,Passed,85,88,BS Accountancy,BS Civil Engineering,11,68,
Silas Flynn,Harvard University USA,Passed,79,100,BS Criminology,BS Information Technology,17,77,
Silas Sullivan,Harvard University USA,Passed,76,93,BS Psychology,BS Accountancy,21,96,
Sofia Garcia,Harvard University USA,Passed,67,95,BS Accountancy,BS Civil Engineering,22,82,
Sofia Lewis,Stanford University USA,Passed,89,86,BS Information Technology,BS Biology,8,84,
Sofia Nelson,Stanford University USA,Passed,59,92,BS Biology,BS Accountancy,31,97,
Sophia Carter,Harvard University USA,Passed,61,66,BS Accountancy,BS Civil Engineering,27,86,
Sophia Clark,Harvard University USA,Passed,0,84,BS Accountancy,BS Civil Engineering,37,81,
Sophia Gupta,Harvard University USA,Passed,94,93,BS Criminology,BS Information Technology,3,61,
Sophia King,Harvard University USA,Passed,94,62,BS Accountancy,BS Civil Engineering,3,73,
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,Passed,85,80,BS Psychology,BS Accountancy,11,68,
Sophie Holmes,Harvard University USA,Passed,86,72,BS Criminology,BS Information Technology,10,95,
Stella Mitchell,Harvard University USA,Passed,0,87,BS Computer Science,BS Biology,36,60,
Stella Moore,Harvard University USA,Passed,85,83,BSED Mathematics,BS Civil Engineering,16,71,
Stella Schmidt,Stanford University USA,Passed,88,87,BSED Mathematics,BS Civil Engineering,11,89,
Tristan Shepard,Stanford University USA,Passed,55,74,BS Criminology,BS Information Technology,33,98,
Vincent Barker,Harvard University USA,Passed,87,96,BS Criminology,BS Information Technology,9,96,
Violet Nguyen,Stanford University USA,Passed,60,72,BSED Mathematics,BS Civil Engineering,30,94,
William Richardson,California Institute of Technology (Caltech) USA,Passed,66,81,BS Accountancy,BS Civil Engineering,23,82,
William Rodriguez,Stanford University USA,Passed,80,71,BS Accountancy,BS Civil Engineering,13,60,
William Santos,Harvard University USA,Passed,83,90,BS Computer Science,BS Biology,14,62,
William Walker,University of Cambridge UK,Passed,95,89,BS Information Technology,BS Biology,3,97,
Wyatt Morgan,Harvard University USA,Passed,61,99,BS Psychology,BS Accountancy,30,67,
Xavier Montgomery,Stanford University USA,Passed,63,74,BS Computer Science,BS Biology,28,60,
Xavier Roth,Stanford University USA,Passed,79,82,BS Criminology,BS Information Technology,19,84,
Zane Stewart,Harvard University USA,Passed,67,64,BS Criminology,BS Information Technology,26,99,
Zoe Sullivan,Stanford University USA,Passed,57,80,BS Psychology,BS Accountancy,35,60,
Zoey Adams,Stanford University USA,Passed,57,62,BSED Mathematics,BS Civil Engineering,34,98,
Zoey Hayes,Harvard University USA,Passed,89,68,BS Biology,BS Accountancy,12,74,
Zoey Jenkins,Stanford University USA,Passed,62,94,BS Information Technology,BS Biology,26,87,
Zoey Rivera,Stanford University USA,Passed,74,72,BS Information Technology,BS Biology,16,98,
Zoey Thompson,Harvard University USA,Passed,80,93,BS Psychology,BS Accountancy,16,77,
