Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank
Matthew Miller,Harvard University USA,Passed,57.0,BS Biology,BS Accountancy,32
Grace Hall,Harvard University USA,Passed,51.0,BS Biology,BS Accountancy,33
Carter Wood,Harvard University USA,Passed,44.0,BS Biology,BS Accountancy,34
David Adams,Stanford University USA,Passed,38.0,BS Biology,BS Accountancy,35
Aria King,University of Cambridge UK,Passed,30.0,BS Biology,BS Accountancy,36
Evelyn Robinson,Harvard University USA,Passed,28.0,BS Biology,BS Accountancy,37
Samuel Perez,Stanford University USA,Passed,20.0,BS Biology,BS Accountancy,38
Noah Davis,Harvard University USA,Passed,0.0,BS Biology,BS Accountancy,39
Aiden Thomas,Harvard University USA,Passed,0.0,BS Biology,BS Accountancy,40
Liam Taylor,Harvard University USA,Passed,100.0,BS Accountancy,BS Civil Engineering,1
Madison Lee,Stanford University USA,Passed,97.0,BS Accountancy,BS Civil Engineering,2
Sophia King,Harvard University USA,Passed,94.0,BS Accountancy,BS Civil Engineering,3
Henry Perez,Stanford University USA,Passed,91.0,BS Accountancy,BS Civil Engineering,4
Layla Garcia,Harvard University USA,Passed,90.0,BS Accountancy,BS Civil Engineering,5
James Harris,Stanford University USA,Passed,89.0,BS Accountancy,BS Civil Engineering,6
Charlotte Wilson,Harvard University USA,Passed,88.0,BS Accountancy,BS Civil Engineering,7
Olivia Taylor,Harvard University USA,Passed,88.0,BS Accountancy,BS Civil Engineering,8
Aria Nelson,Stanford University USA,Passed,87.0,BS Accountancy,BS Civil Engineering,9
David Martin,Stanford University USA,Passed,86.0,BS Accountancy,BS Civil Engineering,10
Scarlett Lee,Stanford University USA,Passed,85.0,BS Accountancy,BS Civil Engineering,11
Evelyn Stewart,Stanford University USA,Passed,82.0,BS Accountancy,BS Civil Engineering,12
William Rodriguez,Stanford University USA,Passed,80.0,BS Accountancy,BS Civil Engineering,13
Emma Wilson,Massachusetts Institute of Technology (MIT) USA,Passed,78.0,BS Accountancy,BS Civil Engineering,14
Matthew Lewis,Massachusetts Institute of Technology (MIT) USA,Passed,75.0,BS Accountancy,BS Civil Engineering,15
Lily Miller,Harvard University USA,Passed,74.0,BS Accountancy,BS Civil Engineering,16
Grace Cooper,Harvard University USA,Passed,74.0,BS Accountancy,BS Civil Engineering,17
Henry Baker,Harvard University USA,Passed,73.0,BS Accountancy,BS Civil Engineering,18
Harper Jackson,Harvard University USA,Passed,72.0,BS Accountancy,BS Civil Engineering,19
Liam Thompson,Harvard University USA,Passed,71.0,BS Accountancy,BS Civil Engineering,20
Gabriel Diaz,Harvard University USA,Passed,69.0,BS Accountancy,BS Civil Engineering,21
Sofia Garcia,Harvard University USA,Passed,67.0,BS Accountancy,BS Civil Engineering,22
William Richardson,California Institute of Technology (Caltech) USA,Passed,66.0,BS Accountancy,BS Civil Engineering,23
Emily Davis,Stanford University USA,Passed,65.0,BS Accountancy,BS Civil Engineering,24
Alexander Clark,Harvard University USA,Passed,64.0,BS Accountancy,BS Civil Engineering,25
Camila Rivera,University of Oxford UK,Passed,62.0,BS Accountancy,BS Civil Engineering,26
Sophia Carter,Harvard University USA,Passed,61.0,BS Accountancy,BS Civil Engineering,27
Elijah Williams,Stanford University USA,Passed,58.0,BS Accountancy,BS Civil Engineering,28
Ella Stewart,Stanford University USA,Passed,57.0,BS Accountancy,BS Civil Engineering,29
Logan Brown,University of Oxford UK,Passed,48.0,BS Accountancy,BS Civil Engineering,30
Emma Reed,Harvard University USA,Passed,42.0,BS Accountancy,BS Civil Engineering,31
James Scott,Harvard University USA,Passed,38.0,BS Accountancy,BS Civil Engineering,32
Madison Harris,Harvard University USA,Passed,30.0,BS Accountancy,BS Civil Engineering,33
Avery Lewis,Stanford University USA,Passed,28.0,BS Accountancy,BS Civil Engineering,34
Emily Lee,Massachusetts Institute of Technology (MIT) USA,Passed,5.0,BS Accountancy,BS Civil Engineering,35
Ava Garcia,University of Cambridge UK,Passed,0.0,BS Accountancy,BS Civil Engineering,36
Sophia Clark,Harvard University USA,Passed,0.0,BS Accountancy,BS Civil Engineering,37
Evelyn Jenkins,Stanford University USA,Passed,99.0,BS Civil Engineering,BS Information Technology,1
Olivia Richardson,Stanford University USA,Passed,97.0,BS Civil Engineering,BS Information Technology,2
Carter Hall,Harvard University USA,Passed,97.0,BS Civil Engineering,BS Information Technology,3
Joseph Diaz,Harvard University USA,Passed,95.0,BS Civil Engineering,BS Information Technology,4
Avery Gonzalez,Harvard University USA,Passed,92.0,BS Civil Engineering,BS Information Technology,5
Matthew Johnson,Harvard University USA,Passed,92.0,BS Civil Engineering,BS Information Technology,6
Ava White,Stanford University USA,Passed,91.0,BS Civil Engineering,BS Information Technology,7
Emma Stewart,Stanford University USA,Passed,90.0,BS Civil Engineering,BS Information Technology,8
Emily Williams,Harvard University USA,Passed,89.0,BS Civil Engineering,BS Information Technology,9
Benjamin Martin,Harvard University USA,Passed,89.0,BS Civil Engineering,BS Information Technology,10
Jack Scott,Harvard University USA,Passed,88.0,BS Civil Engineering,BS Information Technology,11
Ethan Carter,Harvard University USA,Passed,87.0,BS Civil Engineering,BS Information Technology,12
Avery Green,Stanford University USA,Passed,86.0,BS Civil Engineering,BS Information Technology,13
Lucas Johnson,Stanford University USA,Passed,85.0,BS Civil Engineering,BS Information Technology,14
Benjamin Richardson,Stanford University USA,Passed,82.0,BS Civil Engineering,BS Information Technology,15
Emily Carter,Harvard University USA,Passed,79.0,BS Civil Engineering,BS Information Technology,16
Mia Young,Harvard University USA,Passed,77.0,BS Civil Engineering,BS Information Technology,17
Noah Jenkins,Harvard University USA,Passed,75.0,BS Civil Engineering,BS Information Technology,18
Mia Perez,Harvard University USA,Passed,74.0,BS Civil Engineering,BS Information Technology,19
Chloe Williams,Stanford University USA,Passed,73.0,BS Civil Engineering,BS Information Technology,20
Andrew Gonzalez,Harvard University USA,Passed,72.0,BS Civil Engineering,BS Information Technology,21
Michael White,Massachusetts Institute of Technology (MIT) USA,Passed,72.0,BS Civil Engineering,BS Information Technology,22
Joseph Martinez,Harvard University USA,Passed,70.0,BS Civil Engineering,BS Information Technology,23
Oliver Parker,California Institute of Technology (Caltech) USA,Passed,69.0,BS Civil Engineering,BS Information Technology,24
Jack Reed,University of Oxford UK,Passed,67.0,BS Civil Engineering,BS Information Technology,25
Gabriel Wilson,Imperial College London UK,Passed,66.0,BS Civil Engineering,BS Information Technology,26
Michael Evans,Stanford University USA,Passed,63.0,BS Civil Engineering,BS Information Technology,27
Ethan Wilson,University of Oxford UK,Passed,62.0,BS Civil Engineering,BS Information Technology,28
Jack Garcia,Harvard University USA,Passed,62.0,BS Civil Engineering,BS Information Technology,29
Layla Jackson,Harvard University USA,Passed,61.0,BS Civil Engineering,BS Information Technology,30
Charlotte Baker,Stanford University USA,Passed,58.0,BS Civil Engineering,BS Information Technology,31
Emily Moore,Stanford University USA,Passed,54.0,BS Civil Engineering,BS Information Technology,32
Harper Diaz,Harvard University USA,Passed,41.0,BS Civil Engineering,BS Information Technology,33
Chloe Anderson,Harvard University USA,Passed,37.0,BS Civil Engineering,BS Information Technology,34
Olivia White,Harvard University USA,Passed,30.0,BS Civil Engineering,BS Information Technology,35
Aiden Thompson,University of Oxford UK,Passed,30.0,BS Civil Engineering,BS Information Technology,36
Ethan Martin,Stanford University USA,Passed,24.0,BS Civil Engineering,BS Information Technology,37
John Doe,Stanford University USA,Passed,0.0,BS Civil Engineering,BS Information Technology,38
Robert Anderson,Harvard University USA,Passed,0.0,BS Civil Engineering,BS Information Technology,39
Aiden Rivera,Stanford University USA,Passed,97.0,BS Information Technology,BS Biology,1
Mia Thomas,Harvard University USA,Passed,97.0,BS Information Technology,BS Biology,2
William Walker,University of Cambridge UK,Passed,95.0,BS Information Technology,BS Biology,3
Lily Davis,Harvard University USA,Passed,92.0,BS Information Technology,BS Biology,4
Jackson Baker,Stanford University USA,Passed,92.0,BS Information Technology,BS Biology,5
Daniel Adams,University of Oxford UK,Passed,90.0,BS Information Technology,BS Biology,6
Elijah Robinson,Harvard University USA,Passed,89.0,BS Information Technology,BS Biology,7
Sofia Lewis,Stanford University USA,Passed,89.0,BS Information Technology,BS Biology,8
Noah Parker,Harvard University USA,Passed,88.0,BS Information Technology,BS Biology,9
Aiden Wood,Harvard University USA,Passed,86.0,BS Information Technology,BS Biology,10
Madison Davis,Massachusetts Institute of Technology (MIT) USA,Passed,84.0,BS Information Technology,BS Biology,11
Charlotte Walker,Harvard University USA,Passed,81.0,BS Information Technology,BS Biology,12
Mia Johnson,Stanford University USA,Passed,77.0,BS Information Technology,BS Biology,13
Aria Evans,Stanford University USA,Passed,76.0,BS Information Technology,BS Biology,14
Camila Hayes,Harvard University USA,Passed,75.0,BS Information Technology,BS Biology,15
Zoey Rivera,Stanford University USA,Passed,74.0,BS Information Technology,BS Biology,16
Ella Bailey,Harvard University USA,Passed,73.0,BS Information Technology,BS Biology,17
Amelia Harris,Stanford University USA,Passed,72.0,BS Information Technology,BS Biology,18
Daniel Brown,University of Oxford UK,Passed,72.0,BS Information Technology,BS Biology,19
James Taylor,Massachusetts Institute of Technology (MIT) USA,Passed,70.0,BS Information Technology,BS Biology,20
Olivia Smith,Harvard University USA,Passed,67.0,BS Information Technology,BS Biology,21
Henry Gonzalez,Harvard University USA,Passed,67.0,BS Information Technology,BS Biology,22
Ava Walker,University of Oxford UK,Passed,66.0,BS Information Technology,BS Biology,23
Sarah White,Stanford University USA,Passed,65.0,BS Information Technology,BS Biology,24
Jane Smith,Harvard University USA,Passed,65.0,BS Information Technology,BS Biology,25
Zoey Jenkins,Stanford University USA,Passed,62.0,BS Information Technology,BS Biology,26
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,Passed,62.0,BS Information Technology,BS Biology,27
Mia Smith,Stanford University USA,Passed,59.0,BS Information Technology,BS Biology,28
Benjamin Green,Stanford University USA,Passed,57.0,BS Information Technology,BS Biology,29
Mia Harris,Harvard University USA,Passed,55.0,BS Information Technology,BS Biology,30
Noah Martinez,Harvard University USA,Passed,53.0,BS Information Technology,BS Biology,31
Amelia Jones,Massachusetts Institute of Technology (MIT) USA,Passed,46.0,BS Information Technology,BS Biology,32
Daniel Lee,Stanford University USA,Passed,40.0,BS Information Technology,BS Biology,33
Oliver Turner,Harvard University USA,Passed,37.0,BS Information Technology,BS Biology,34
Lucas Hayes,Stanford University USA,Passed,30.0,BS Information Technology,BS Biology,35
Andrew Phillips,Harvard University USA,Passed,30.0,BS Information Technology,BS Biology,36
Nicholas Rodriguez,Harvard University USA,Passed,24.0,BS Information Technology,BS Biology,37
Emma Miller,Harvard University USA,Passed,0.0,BS Information Technology,BS Biology,38
ABC MOORE,Stanford University USA,Passed,100.0,BSED Mathematics,BS Civil Engineering,1
Darryl John,Stanford University USA,Passed,97.0,BSED Mathematics,BS Civil Engineering,2
Addison Price,Harvard University USA,Passed,96.0,BSED Mathematics,BS Civil Engineering,3
Caleb Turner,Harvard University USA,Passed,94.0,BSED Mathematics,BS Civil Engineering,4
Harper Baker,University of Oxford UK,Passed,94.0,BSED Mathematics,BS Civil Engineering,5
Olivia Turner,Massachusetts Institute of Technology (MIT) USA,Passed,94.0,BSED Mathematics,BS Civil Engineering,6
Elijah Baker,University of Oxford UK,Passed,94.0,BSED Mathematics,BS Civil Engineering,7
Harper Bishop,Stanford University USA,Passed,90.0,BSED Mathematics,BS Civil Engineering,8
Aurora Morgan,Massachusetts Institute of Technology (MIT) USA,Passed,89.0,BSED Mathematics,BS Civil Engineering,9
Benjamin Turner,Stanford University USA,Passed,88.0,BSED Mathematics,BS Civil Engineering,10
Stella Schmidt,Stanford University USA,Passed,88.0,BSED Mathematics,BS Civil Engineering,11
John Smith,Stanford University USA,Passed,88.0,BSED Mathematics,BS Civil Engineering,12
Jack Hall,Stanford University USA,Passed,87.0,BSED Mathematics,BS Civil Engineering,13
Emma Adams,Massachusetts Institute of Technology (MIT) USA,Passed,87.0,BSED Mathematics,BS Civil Engineering,14
Abigail Moore,Stanford University USA,Passed,86.0,BSED Mathematics,BS Civil Engineering,15
Stella Moore,Harvard University USA,Passed,85.0,BSED Mathematics,BS Civil Engineering,16
Cassandra Graham,Stanford University USA,Passed,85.0,BSED Mathematics,BS Civil Engineering,17
Scarlett Foster,Harvard University USA,Passed,82.0,BSED Mathematics,BS Civil Engineering,18
Lydia Foster,Harvard University USA,Passed,80.0,BSED Mathematics,BS Civil Engineering,19
Isabella Thompson,Stanford University USA,Passed,79.0,BSED Mathematics,BS Civil Engineering,20
Ella Thompson,Harvard University USA,Passed,79.0,BSED Mathematics,BS Civil Engineering,21
Adrianna Novak,Massachusetts Institute of Technology (MIT) USA,Passed,77.0,BSED Mathematics,BS Civil Engineering,22
Ivy Powell,Harvard University USA,Passed,77.0,BSED Mathematics,BS Civil Engineering,23
Juniper Patel,Stanford University USA,Passed,77.0,BSED Mathematics,BS Civil Engineering,24
Jacob Patel,Harvard University USA,Passed,77.0,BSED Mathematics,BS Civil Engineering,25
Gabriella Hayes,Harvard University USA,Passed,70.0,BSED Mathematics,BS Civil Engineering,26
Aria Lopez,Harvard University USA,Passed,66.0,BSED Mathematics,BS Civil Engineering,27
Noah Wilson,University of Oxford UK,Passed,65.0,BSED Mathematics,BS Civil Engineering,28
Jacob Brooks,Massachusetts Institute of Technology (MIT) USA,Passed,65.0,BSED Mathematics,BS Civil Engineering,29
Violet Nguyen,Stanford University USA,Passed,60.0,BSED Mathematics,BS Civil Engineering,30
Harper Coleman,Stanford University USA,Passed,60.0,BSED Mathematics,BS Civil Engineering,31
Aurora Santos,Stanford University USA,Passed,59.0,BSED Mathematics,BS Civil Engineering,32
Benjamin Kim,Stanford University USA,Passed,59.0,BSED Mathematics,BS Civil Engineering,33
Zoey Adams,Stanford University USA,Passed,57.0,BSED Mathematics,BS Civil Engineering,34
Matthew Lee,Harvard University USA,Passed,55.0,BSED Mathematics,BS Civil Engineering,35
Aria Lee,Harvard University USA,Passed,55.0,BSED Mathematics,BS Civil Engineering,36
Hazel Olson,Harvard University USA,Passed,55.0,BSED Mathematics,BS Civil Engineering,37
Luna Young,Harvard University USA,Passed,53.0,BSED Mathematics,BS Civil Engineering,38
Hazel Rivera,Stanford University USA,Passed,0.0,BSED Mathematics,BS Civil Engineering,39
Elijah Reed,University of Oxford UK,Passed,98.0,BS Criminology,BS Information Technology,1
Atticus Hawkins,Stanford University USA,Passed,94.0,BS Criminology,BS Information Technology,2
Sophia Gupta,Harvard University USA,Passed,94.0,BS Criminology,BS Information Technology,3
Amelia Brooks,Stanford University USA,Passed,92.0,BS Criminology,BS Information Technology,4
Ava Turner,Harvard University USA,Passed,92.0,BS Criminology,BS Information Technology,5
Mia Hernandez,University of Oxford UK,Passed,92.0,BS Criminology,BS Information Technology,6
Lincoln Holmes,Harvard University USA,Passed,91.0,BS Criminology,BS Information Technology,7
Damian Hunt,Harvard University USA,Passed,88.0,BS Criminology,BS Information Technology,8
Vincent Barker,Harvard University USA,Passed,87.0,BS Criminology,BS Information Technology,9
Sophie Holmes,Harvard University USA,Passed,86.0,BS Criminology,BS Information Technology,10
Evelyn King,Harvard University USA,Passed,86.0,BS Criminology,BS Information Technology,11
Ella Miller,Stanford University USA,Passed,84.0,BS Criminology,BS Information Technology,12
Daniel Hall,Massachusetts Institute of Technology (MIT) USA,Passed,84.0,BS Criminology,BS Information Technology,13
Logan Clark,Harvard University USA,Passed,83.0,BS Criminology,BS Information Technology,14
Charlotte Clark,Harvard University USA,Passed,83.0,BS Criminology,BS Information Technology,15
Aurora Hayes,Stanford University USA,Passed,83.0,BS Criminology,BS Information Technology,16
Silas Flynn,Harvard University USA,Passed,79.0,BS Criminology,BS Information Technology,17
Max Thompson,Harvard University USA,Passed,79.0,BS Criminology,BS Information Technology,18
Xavier Roth,Stanford University USA,Passed,79.0,BS Criminology,BS Information Technology,19
Jasmine Parker,Stanford University USA,Passed,79.0,BS Criminology,BS Information Technology,20
Owen Turner,Stanford University USA,Passed,76.0,BS Criminology,BS Information Technology,21
Carter Brooks,Harvard University USA,Passed,74.0,BS Criminology,BS Information Technology,22
James Cooper,Harvard University USA,Passed,74.0,BS Criminology,BS Information Technology,23
Grayson Bell,Harvard University USA,Passed,71.0,BS Criminology,BS Information Technology,24
Emily Johnson,Harvard University USA,Passed,70.0,BS Criminology,BS Information Technology,25
Zane Stewart,Harvard University USA,Passed,67.0,BS Criminology,BS Information Technology,26
Mason Donovan,Harvard University USA,Passed,65.0,BS Criminology,BS Information Technology,27
James Carter,Harvard University USA,Passed,63.0,BS Criminology,BS Information Technology,28
Matthew Carter,Harvard University USA,Passed,63.0,BS Criminology,BS Information Technology,29
Levi Russell,Stanford University USA,Passed,59.0,BS Criminology,BS Information Technology,30
Sawyer Bailey,Harvard University USA,Passed,58.0,BS Criminology,BS Information Technology,31
Olivia Chang,Stanford University USA,Passed,55.0,BS Criminology,BS Information Technology,32
Tristan Shepard,Stanford University USA,Passed,55.0,BS Criminology,BS Information Technology,33
Mateo Perry,Harvard University USA,Passed,0.0,BS Criminology,BS Information Technology,34
D,Stanford University USA,Passed,0.0,BS Criminology,BS Information Technology,35
Jackson Brooks,Harvard University USA,Passed,0.0,BS Criminology,BS Information Technology,36
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,Passed,100.0,BS Computer Science,BS Biology,1
Bella Turner,Stanford University USA,Passed,95.0,BS Computer Science,BS Biology,2
Hazel Parker,University of Oxford UK,Passed,95.0,BS Computer Science,BS Biology,3
Ethan Parker,Harvard University USA,Passed,95.0,BS Computer Science,BS Biology,4
Penelope Choi,Harvard University USA,Passed,92.0,BS Computer Science,BS Biology,5
Avery Taylor,Harvard University USA,Passed,91.0,BS Computer Science,BS Biology,6
Evelyn Taylor,Stanford University USA,Passed,91.0,BS Computer Science,BS Biology,7
Clara Holmes,Stanford University USA,Passed,87.0,BS Computer Science,BS Biology,8
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,Passed,86.0,BS Computer Science,BS Biology,9
Lucas Thompson,University of Oxford UK,Passed,86.0,BS Computer Science,BS Biology,10
Evelyn Reed,Harvard University USA,Passed,86.0,BS Computer Science,BS Biology,11
Elise Zimmerman,Harvard University USA,Passed,84.0,BS Computer Science,BS Biology,12
Juliette Ruiz,Harvard University USA,Passed,83.0,BS Computer Science,BS Biology,13
William Santos,Harvard University USA,Passed,83.0,BS Computer Science,BS Biology,14
Noah Scott,University of Oxford UK,Passed,82.0,BS Computer Science,BS Biology,15
Michael Harris,California Institute of Technology (Caltech) USA,Passed,82.0,BS Computer Science,BS Biology,16
Lily Walker,Stanford University USA,Passed,82.0,BS Computer Science,BS Biology,17
Mason Turner,Harvard University USA,Passed,81.0,BS Computer Science,BS Biology,18
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,Passed,80.0,BS Computer Science,BS Biology,19
Landon Davis,Harvard University USA,Passed,78.0,BS Computer Science,BS Biology,20
Hazel Collins,Stanford University USA,Passed,75.0,BS Computer Science,BS Biology,21
Penelope Torres,Harvard University USA,Passed,72.0,BS Computer Science,BS Biology,22
Madeline Griffin,Stanford University USA,Passed,70.0,BS Computer Science,BS Biology,23
Mia Martin,Harvard University USA,Passed,68.0,BS Computer Science,BS Biology,24
Logan Martin,Stanford University USA,Passed,68.0,BS Computer Science,BS Biology,25
Kiera Holland,Harvard University USA,Passed,63.0,BS Computer Science,BS Biology,26
Elena Vargas,Harvard University USA,Passed,63.0,BS Computer Science,BS Biology,27
Xavier Montgomery,Stanford University USA,Passed,63.0,BS Computer Science,BS Biology,28
Lucas Turner,Harvard University USA,Passed,62.0,BS Computer Science,BS Biology,29
Emma Evans,Harvard University USA,Passed,62.0,BS Computer Science,BS Biology,30
Natalie King,Stanford University USA,Passed,59.0,BS Computer Science,BS Biology,31
Mia Harper,Massachusetts Institute of Technology (MIT) USA,Passed,56.0,BS Computer Science,BS Biology,32
Paisley Diaz,Stanford University USA,Passed,54.0,BS Computer Science,BS Biology,33
Nova Ward,Stanford University USA,Passed,51.0,BS Computer Science,BS Biology,34
Grace Taylor,Harvard University USA,Passed,0.0,BS Computer Science,BS Biology,35
Stella Mitchell,Harvard University USA,Passed,0.0,BS Computer Science,BS Biology,36
Lincoln Coleman,Harvard University USA,Passed,99.0,BS Psychology,BS Accountancy,1
Isaac Park,University of Oxford UK,Passed,95.0,BS Psychology,BS Accountancy,2
Isaac Ward,Harvard University USA,Passed,93.0,BS Psychology,BS Accountancy,3
Elijah Kelly,Stanford University USA,Passed,93.0,BS Psychology,BS Accountancy,4
Emily Rodriguez,Stanford University USA,Passed,91.0,BS Psychology,BS Accountancy,5
Ezekiel Cameron,Harvard University USA,Passed,91.0,BS Psychology,BS Accountancy,6
Garrett Fuller,Harvard University USA,Passed,91.0,BS Psychology,BS Accountancy,7
Avery Harris,Stanford University USA,Passed,90.0,BS Psychology,BS Accountancy,8
Liam Harris,California Institute of Technology (Caltech) USA,Passed,90.0,BS Psychology,BS Accountancy,9
Samuel Hall,Stanford University USA,Passed,89.0,BS Psychology,BS Accountancy,10
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,Passed,85.0,BS Psychology,BS Accountancy,11
Ivy Bell,Harvard University USA,Passed,85.0,BS Psychology,BS Accountancy,12
Grace Evans,Stanford University USA,Passed,85.0,BS Psychology,BS Accountancy,13
Roman Sullivan,Harvard University USA,Passed,82.0,BS Psychology,BS Accountancy,14
Ava Khan,Stanford University USA,Passed,82.0,BS Psychology,BS Accountancy,15
Zoey Thompson,Harvard University USA,Passed,80.0,BS Psychology,BS Accountancy,16
Jackson Turner,Harvard University USA,Passed,78.0,BS Psychology,BS Accountancy,17
Dominic Clarke,Harvard University USA,Passed,78.0,BS Psychology,BS Accountancy,18
Michael Rodriguez,Stanford University USA,Passed,77.0,BS Psychology,BS Accountancy,19
Isabella Rodriguez,University of Oxford UK,Passed,77.0,BS Psychology,BS Accountancy,20
Silas Sullivan,Harvard University USA,Passed,76.0,BS Psychology,BS Accountancy,21
Leo Perez,Harvard University USA,Passed,73.0,BS Psychology,BS Accountancy,22
Caleb Ross,Stanford University USA,Passed,69.0,BS Psychology,BS Accountancy,23
Desmond Wong,Harvard University USA,Passed,68.0,BS Psychology,BS Accountancy,24
Johnny Sins,Harvard University USA,Passed,65.0,BS Psychology,BS Accountancy,25
Benjamin Scott,Stanford University USA,Passed,64.0,BS Psychology,BS Accountancy,26
Nolan Turner,Harvard University USA,Passed,63.0,BS Psychology,BS Accountancy,27
Nathanial Reynolds,Harvard University USA,Passed,62.0,BS Psychology,BS Accountancy,28
Finnegan Schultz,Harvard University USA,Passed,62.0,BS Psychology,BS Accountancy,29
Wyatt Morgan,Harvard University USA,Passed,61.0,BS Psychology,BS Accountancy,30
Eva Adams,Harvard University USA,Passed,60.0,BS Psychology,BS Accountancy,31
Logan Davis,Harvard University USA,Passed,60.0,BS Psychology,BS Accountancy,32
Ava Baker,Stanford University USA,Passed,59.0,BS Psychology,BS Accountancy,33
Aria Scott,Imperial College London UK,Passed,59.0,BS Psychology,BS Accountancy,34
Zoe Sullivan,Stanford University USA,Passed,57.0,BS Psychology,BS Accountancy,35
Oliver Carter,Stanford University USA,Passed,55.0,BS Psychology,BS Accountancy,36
Hudson Hughes,Stanford University USA,Passed,52.0,BS Psychology,BS Accountancy,37
